Station,Day(Local_Date),Rain(mm),Tmean(C),Tmax(C),Tmin(C),Tgmin(C),VapPress(hPa)
11104,2014 Jan 01,1.6,12.7,16.9,8.5,7.0,11.6
18183,2014 Jan 01,0.0,19.0,23.9,15.6,14.7,18.0
1962,2014 Jan 01,1.8,17.6,24.0,11.1,9.3,16.0
2283,2014 Jan 01,1.4,15.7,20.7,10.7,8.6,14.7
24120,2014 Jan 01,0.0,16.3,25.6,8.2,-,9.0
24976,2014 Jan 01,0.0,18.2,25.7,9.5,6.9,13.7
3445,2014 Jan 01,14.0,16.4,20.0,12.8,-,14.0
4271,2014 Jan 01,14.2,14.8,18.9,10.6,8.0,12.5
5451,2014 Jan 01,3.6,11.1,13.9,8.3,4.2,9.5
11104,2014 Jan 02,1.6,14.1,19.5,8.6,6.3,11.7
18183,2014 Jan 02,0.0,19.1,25.3,12.9,11.4,17.6
1962,2014 Jan 02,0.0,19.1,22.7,15.4,12.9,15.4
2283,2014 Jan 02,0.6,14.7,20.4,8.9,6.7,13.9
24120,2014 Jan 02,0.0,18.1,25.2,11.9,-,9.5
24976,2014 Jan 02,0.0,20.7,27.8,12.7,11.5,13.3
3445,2014 Jan 02,0.0,17.6,19.8,15.3,-,13.0
4271,2014 Jan 02,0.0,15.9,22.4,9.3,6.5,12.9
5451,2014 Jan 02,16.2,13.1,18.0,8.1,4.6,10.4
11104,2014 Jan 03,1.6,12.3,16.9,7.7,4.1,12.1
18183,2014 Jan 03,0.0,20.6,25.2,17.2,14.2,20.5
1962,2014 Jan 03,0.0,20.6,26.3,14.8,12.9,18.3
2283,2014 Jan 03,9.4,18.5,20.5,16.5,15.3,18.6
24120,2014 Jan 03,0.0,21.8,28.4,17.1,-,9.6
24976,2014 Jan 03,0.0,22.3,26.9,17.4,15.4,14.5
3445,2014 Jan 03,19.7,17.6,19.5,15.7,-,16.0
4271,2014 Jan 03,7.6,19.3,22.5,16.1,12.1,16.0
5451,2014 Jan 03,4.0,13.8,18.2,9.3,7.2,10.3
11104,2014 Jan 04,0.0,15.6,21.4,9.8,8.7,10.8
18183,2014 Jan 04,0.0,20.8,24.7,18.4,17.2,21.6
1962,2014 Jan 04,0.2,22.4,26.2,18.5,17.7,21.3
2283,2014 Jan 04,31.2,18.0,21.3,14.6,9.2,18.4
24120,2014 Jan 04,0.0,18.3,24.9,11.0,-,10.8
24976,2014 Jan 04,0.0,24.7,31.3,19.8,18.4,16.2
3445,2014 Jan 04,7.5,17.7,19.6,15.8,-,15.5
4271,2014 Jan 04,6.6,16.2,21.4,10.9,8.0,14.0
