OBS_DATE,NZDI_INDICATOR,VAL
2007-01-15,NZDI,0.33
2007-01-15,PED,0.7
2007-01-15,SMD,0.6
2007-01-15,SMDA,0
2007-01-15,SPI,0
2007-01-16,NZDI,0.32
2007-01-16,PED,0.68
2007-01-16,SMD,0.6
2007-01-16,SMDA,0.01
2007-01-16,SPI,0
2007-01-17,NZDI,0.31
2007-01-17,PED,0.6
2007-01-17,SMD,0.62
2007-01-17,SMDA,0.01
2007-01-17,SPI,0
2007-01-18,NZDI,0.33
2007-01-18,PED,0.67
2007-01-18,SMD,0.64
2007-01-18,SMDA,0.01
2007-01-18,SPI,0
2007-01-19,NZDI,0.36
2007-01-19,PED,0.76
2007-01-19,SMD,0.65
2007-01-19,SMDA,0.02
2007-01-19,SPI,0
2007-01-20,NZDI,0.35
2007-01-20,PED,0.72
2007-01-20,SMD,0.66
2007-01-20,SMDA,0.02
2007-01-20,SPI,0
2007-01-21,NZDI,0.35
2007-01-21,PED,0.72
2007-01-21,SMD,0.68
2007-01-21,SMDA,0.02
2007-01-21,SPI,0
2007-01-22,NZDI,0.38
2007-01-22,PED,0.81
2007-01-22,SMD,0.69
2007-01-22,SMDA,0.02
2007-01-22,SPI,0
2007-01-23,NZDI,0.38
2007-01-23,PED,0.79
2007-01-23,SMD,0.7
2007-01-23,SMDA,0.03
2007-01-23,SPI,0
2007-01-24,NZDI,0.37
2007-01-24,PED,0.75
2007-01-24,SMD,0.72
2007-01-24,SMDA,0.03
2007-01-24,SPI,0
2007-01-25,NZDI,0.37
2007-01-25,PED,0.74
2007-01-25,SMD,0.7
2007-01-25,SMDA,0.03
2007-01-25,SPI,0
2007-01-26,NZDI,0.37
2007-01-26,PED,0.7
2007-01-26,SMD,0.74
2007-01-26,SMDA,0.04
2007-01-26,SPI,0
2007-01-27,NZDI,0.37
2007-01-27,PED,0.69
2007-01-27,SMD,0.75
2007-01-27,SMDA,0.04
2007-01-27,SPI,0
2007-01-28,NZDI,0.37
2007-01-28,PED,0.7
2007-01-28,SMD,0.76
2007-01-28,SMDA,0.04
2007-01-28,SPI,0
2007-01-29,NZDI,0.38
2007-01-29,PED,0.73
2007-01-29,SMD,0.77
2007-01-29,SMDA,0.04
2007-01-29,SPI,0
2007-01-30,NZDI,0.39
2007-01-30,PED,0.74
2007-01-30,SMD,0.78
2007-01-30,SMDA,0.04
2007-01-30,SPI,0
2007-01-31,NZDI,0.4
2007-01-31,PED,0.78
2007-01-31,SMD,0.8
2007-01-31,SMDA,0.04
2007-01-31,SPI,0
2007-02-01,NZDI,0.42
2007-02-01,PED,0.81
2007-02-01,SMD,0.82
2007-02-01,SMDA,0.05
2007-02-01,SPI,0
2007-02-02,NZDI,0.41
2007-02-02,PED,0.78
2007-02-02,SMD,0.82
2007-02-02,SMDA,0.04
2007-02-02,SPI,0
2007-02-03,NZDI,0.41
2007-02-03,PED,0.78
2007-02-03,SMD,0.83
2007-02-03,SMDA,0.04
2007-02-03,SPI,0
2007-02-04,NZDI,0.42
2007-02-04,PED,0.79
2007-02-04,SMD,0.85
2007-02-04,SMDA,0.04
2007-02-04,SPI,0
2007-02-05,NZDI,0.42
2007-02-05,PED,0.8
2007-02-05,SMD,0.86
2007-02-05,SMDA,0.04
2007-02-05,SPI,0
2007-02-06,NZDI,0.43
2007-02-06,PED,0.81
2007-02-06,SMD,0.87
2007-02-06,SMDA,0.04
2007-02-06,SPI,0
2007-02-07,NZDI,0.43
2007-02-07,PED,0.81
2007-02-07,SMD,0.88
2007-02-07,SMDA,0.04
2007-02-07,SPI,0
2007-02-08,NZDI,0.43
2007-02-08,PED,0.8
2007-02-08,SMD,0.89
2007-02-08,SMDA,0.04
2007-02-08,SPI,0
2007-02-09,NZDI,0.43
2007-02-09,PED,0.79
2007-02-09,SMD,0.9
2007-02-09,SMDA,0.05
2007-02-09,SPI,0
2007-02-10,NZDI,0.43
2007-02-10,PED,0.76
2007-02-10,SMD,0.91
2007-02-10,SMDA,0.05
2007-02-10,SPI,0
2007-02-11,NZDI,0.43
2007-02-11,PED,0.75
2007-02-11,SMD,0.94
2007-02-11,SMDA,0.05
2007-02-11,SPI,0
2007-02-12,NZDI,0.44
2007-02-12,PED,0.75
2007-02-12,SMD,0.96
2007-02-12,SMDA,0.06
2007-02-12,SPI,0
2007-02-13,NZDI,0.44
2007-02-13,PED,0.74
2007-02-13,SMD,0.98
2007-02-13,SMDA,0.07
2007-02-13,SPI,0
2007-02-14,NZDI,0.45
2007-02-14,PED,0.74
2007-02-14,SMD,1
2007-02-14,SMDA,0.09
2007-02-14,SPI,0
2007-02-15,NZDI,0.46
2007-02-15,PED,0.74
2007-02-15,SMD,1.02
2007-02-15,SMDA,0.11
2007-02-15,SPI,0
2007-02-16,NZDI,0.47
2007-02-16,PED,0.75
2007-02-16,SMD,1.04
2007-02-16,SMDA,0.13
2007-02-16,SPI,0
2007-02-17,NZDI,0.48
2007-02-17,PED,0.74
2007-02-17,SMD,1.06
2007-02-17,SMDA,0.15
2007-02-17,SPI,0
2007-02-18,NZDI,0.49
2007-02-18,PED,0.74
2007-02-18,SMD,1.08
2007-02-18,SMDA,0.17
2007-02-18,SPI,0
2007-02-19,NZDI,0.51
2007-02-19,PED,0.75
2007-02-19,SMD,1.1
2007-02-19,SMDA,0.18
2007-02-19,SPI,0
2007-02-20,NZDI,0.52
2007-02-20,PED,0.76
2007-02-20,SMD,1.12
2007-02-20,SMDA,0.19
2007-02-20,SPI,0.01
2007-02-21,NZDI,0.52
2007-02-21,PED,0.74
2007-02-21,SMD,1.14
2007-02-21,SMDA,0.2
2007-02-21,SPI,0.02
2007-02-22,NZDI,0.54
2007-02-22,PED,0.74
2007-02-22,SMD,1.15
2007-02-22,SMDA,0.21
2007-02-22,SPI,0.05
2007-02-23,NZDI,0.54
2007-02-23,PED,0.73
2007-02-23,SMD,1.12
2007-02-23,SMDA,0.22
2007-02-23,SPI,0.08
2007-02-24,NZDI,0.56
2007-02-24,PED,0.73
2007-02-24,SMD,1.17
2007-02-24,SMDA,0.22
2007-02-24,SPI,0.1
2007-02-25,NZDI,0.57
2007-02-25,PED,0.77
2007-02-25,SMD,1.19
2007-02-25,SMDA,0.22
2007-02-25,SPI,0.12
2007-02-26,NZDI,0.59
2007-02-26,PED,0.8
2007-02-26,SMD,1.2
2007-02-26,SMDA,0.23
2007-02-26,SPI,0.14
2007-02-27,NZDI,0.6
2007-02-27,PED,0.78
2007-02-27,SMD,1.22
2007-02-27,SMDA,0.25
2007-02-27,SPI,0.16
2007-02-28,NZDI,0.6
2007-02-28,PED,0.76
2007-02-28,SMD,1.19
2007-02-28,SMDA,0.27
2007-02-28,SPI,0.19
2007-03-01,NZDI,0.63
2007-03-01,PED,0.75
2007-03-01,SMD,1.25
2007-03-01,SMDA,0.29
2007-03-01,SPI,0.23
2007-03-02,NZDI,0.66
2007-03-02,PED,0.75
2007-03-02,SMD,1.27
2007-03-02,SMDA,0.32
2007-03-02,SPI,0.28
2007-03-03,NZDI,0.67
2007-03-03,PED,0.72
2007-03-03,SMD,1.29
2007-03-03,SMDA,0.35
2007-03-03,SPI,0.33
2007-03-04,NZDI,0.7
2007-03-04,PED,0.72
2007-03-04,SMD,1.31
2007-03-04,SMDA,0.37
2007-03-04,SPI,0.38
2007-03-05,NZDI,0.71
2007-03-05,PED,0.74
2007-03-05,SMD,1.27
2007-03-05,SMDA,0.4
2007-03-05,SPI,0.43
2007-03-06,NZDI,0.74
2007-03-06,PED,0.78
2007-03-06,SMD,1.29
2007-03-06,SMDA,0.42
2007-03-06,SPI,0.47
2007-03-07,NZDI,0.77
2007-03-07,PED,0.76
2007-03-07,SMD,1.36
2007-03-07,SMDA,0.44
2007-03-07,SPI,0.51
2007-03-08,NZDI,0.78
2007-03-08,PED,0.73
2007-03-08,SMD,1.38
2007-03-08,SMDA,0.47
2007-03-08,SPI,0.56
2007-03-09,NZDI,0.8
2007-03-09,PED,0.72
2007-03-09,SMD,1.39
2007-03-09,SMDA,0.49
2007-03-09,SPI,0.6
2007-03-10,NZDI,0.83
2007-03-10,PED,0.72
2007-03-10,SMD,1.42
2007-03-10,SMDA,0.54
2007-03-10,SPI,0.64
2007-03-11,NZDI,0.85
2007-03-11,PED,0.72
2007-03-11,SMD,1.43
2007-03-11,SMDA,0.57
2007-03-11,SPI,0.69
2007-03-12,NZDI,0.88
2007-03-12,PED,0.73
2007-03-12,SMD,1.45
2007-03-12,SMDA,0.6
2007-03-12,SPI,0.73
2007-03-13,NZDI,0.89
2007-03-13,PED,0.73
2007-03-13,SMD,1.44
2007-03-13,SMDA,0.6
2007-03-13,SPI,0.78
2007-03-14,NZDI,0.89
2007-03-14,PED,0.73
2007-03-14,SMD,1.43
2007-03-14,SMDA,0.6
2007-03-14,SPI,0.81
2007-03-15,NZDI,0.89
2007-03-15,PED,0.72
2007-03-15,SMD,1.41
2007-03-15,SMDA,0.59
2007-03-15,SPI,0.82
2007-03-16,NZDI,0.89
2007-03-16,PED,0.72
2007-03-16,SMD,1.41
2007-03-16,SMDA,0.58
2007-03-16,SPI,0.84
2007-03-17,NZDI,0.89
2007-03-17,PED,0.74
2007-03-17,SMD,1.4
2007-03-17,SMDA,0.58
2007-03-17,SPI,0.86
2007-03-18,NZDI,0.87
2007-03-18,PED,0.73
2007-03-18,SMD,1.31
2007-03-18,SMDA,0.57
2007-03-18,SPI,0.88
2007-03-19,NZDI,0.88
2007-03-19,PED,0.72
2007-03-19,SMD,1.37
2007-03-19,SMDA,0.56
2007-03-19,SPI,0.89
2007-03-20,NZDI,0.88
2007-03-20,PED,0.7
2007-03-20,SMD,1.35
2007-03-20,SMDA,0.55
2007-03-20,SPI,0.91
2007-03-21,NZDI,0.87
2007-03-21,PED,0.7
2007-03-21,SMD,1.34
2007-03-21,SMDA,0.54
2007-03-21,SPI,0.91
2007-03-22,NZDI,0.87
2007-03-22,PED,0.69
2007-03-22,SMD,1.33
2007-03-22,SMDA,0.53
2007-03-22,SPI,0.92
2007-03-23,NZDI,0.87
2007-03-23,PED,0.71
2007-03-23,SMD,1.31
2007-03-23,SMDA,0.53
2007-03-23,SPI,0.92
2007-03-24,NZDI,0.84
2007-03-24,PED,0.7
2007-03-24,SMD,1.21
2007-03-24,SMDA,0.51
2007-03-24,SPI,0.92
2007-03-25,NZDI,0.87
2007-03-25,PED,0.73
2007-03-25,SMD,1.31
2007-03-25,SMDA,0.52
2007-03-25,SPI,0.92
2007-03-26,NZDI,0.89
2007-03-26,PED,0.83
2007-03-26,SMD,1.31
2007-03-26,SMDA,0.52
2007-03-26,SPI,0.92
2007-03-27,NZDI,0.88
2007-03-27,PED,0.78
2007-03-27,SMD,1.29
2007-03-27,SMDA,0.52
2007-03-27,SPI,0.92
2007-03-28,NZDI,0.87
2007-03-28,PED,0.75
2007-03-28,SMD,1.3
2007-03-28,SMDA,0.51
2007-03-28,SPI,0.92
2007-03-29,NZDI,0.84
2007-03-29,PED,0.7
2007-03-29,SMD,1.28
2007-03-29,SMDA,0.49
2007-03-29,SPI,0.91
2007-03-30,NZDI,0.84
2007-03-30,PED,0.72
2007-03-30,SMD,1.27
2007-03-30,SMDA,0.49
2007-03-30,SPI,0.9
2007-03-31,NZDI,0.84
2007-03-31,PED,0.73
2007-03-31,SMD,1.25
2007-03-31,SMDA,0.49
2007-03-31,SPI,0.88
2007-04-01,NZDI,0.83
2007-04-01,PED,0.74
2007-04-01,SMD,1.26
2007-04-01,SMDA,0.49
2007-04-01,SPI,0.84
2007-04-02,NZDI,0.81
2007-04-02,PED,0.73
2007-04-02,SMD,1.23
2007-04-02,SMDA,0.47
2007-04-02,SPI,0.83
2007-04-03,NZDI,0.81
2007-04-03,PED,0.71
2007-04-03,SMD,1.25
2007-04-03,SMDA,0.48
2007-04-03,SPI,0.8
2007-04-04,NZDI,0.79
2007-04-04,PED,0.67
2007-04-04,SMD,1.24
2007-04-04,SMDA,0.47
2007-04-04,SPI,0.79
2007-04-05,NZDI,0.78
2007-04-05,PED,0.65
2007-04-05,SMD,1.22
2007-04-05,SMDA,0.47
2007-04-05,SPI,0.77
2007-04-06,NZDI,0.76
2007-04-06,PED,0.64
2007-04-06,SMD,1.17
2007-04-06,SMDA,0.46
2007-04-06,SPI,0.75
2007-04-07,NZDI,0.74
2007-04-07,PED,0.63
2007-04-07,SMD,1.14
2007-04-07,SMDA,0.46
2007-04-07,SPI,0.73
2007-04-08,NZDI,0.73
2007-04-08,PED,0.62
2007-04-08,SMD,1.12
2007-04-08,SMDA,0.46
2007-04-08,SPI,0.71
2007-04-09,NZDI,0.71
2007-04-09,PED,0.61
2007-04-09,SMD,1.09
2007-04-09,SMDA,0.46
2007-04-09,SPI,0.68
2007-04-10,NZDI,0.67
2007-04-10,PED,0.6
2007-04-10,SMD,0.96
2007-04-10,SMDA,0.45
2007-04-10,SPI,0.65
2007-04-11,NZDI,0.65
2007-04-11,PED,0.6
2007-04-11,SMD,0.94
2007-04-11,SMDA,0.45
2007-04-11,SPI,0.63
2007-04-12,NZDI,0.65
2007-04-12,PED,0.63
2007-04-12,SMD,0.93
2007-04-12,SMDA,0.45
2007-04-12,SPI,0.59
2007-04-13,NZDI,0.67
2007-04-13,PED,0.62
2007-04-13,SMD,1.03
2007-04-13,SMDA,0.46
2007-04-13,SPI,0.57
2007-04-14,NZDI,0.66
2007-04-14,PED,0.61
2007-04-14,SMD,1
2007-04-14,SMDA,0.46
2007-04-14,SPI,0.57
2007-04-15,NZDI,0.67
2007-04-15,PED,0.59
2007-04-15,SMD,1.08
2007-04-15,SMDA,0.47
2007-04-15,SPI,0.55
2007-04-16,NZDI,0.64
2007-04-16,PED,0.56
2007-04-16,SMD,1.01
2007-04-16,SMDA,0.48
2007-04-16,SPI,0.51
2007-04-17,NZDI,0.6
2007-04-17,PED,0.54
2007-04-17,SMD,0.89
2007-04-17,SMDA,0.47
2007-04-17,SPI,0.5
2007-04-18,NZDI,0.59
2007-04-18,PED,0.52
2007-04-18,SMD,0.88
2007-04-18,SMDA,0.47
2007-04-18,SPI,0.5
2007-04-19,NZDI,0.59
2007-04-19,PED,0.51
2007-04-19,SMD,0.87
2007-04-19,SMDA,0.47
2007-04-19,SPI,0.49
2007-04-20,NZDI,0.61
2007-04-20,PED,0.51
2007-04-20,SMD,0.97
2007-04-20,SMDA,0.48
2007-04-20,SPI,0.49
2007-04-21,NZDI,0.58
2007-04-21,PED,0.5
2007-04-21,SMD,0.86
2007-04-21,SMDA,0.48
2007-04-21,SPI,0.49
2007-04-22,NZDI,0.6
2007-04-22,PED,0.49
2007-04-22,SMD,0.96
2007-04-22,SMDA,0.49
2007-04-22,SPI,0.48
2007-04-23,NZDI,0.6
2007-04-23,PED,0.47
2007-04-23,SMD,0.95
2007-04-23,SMDA,0.5
2007-04-23,SPI,0.47
2007-04-24,NZDI,0.59
2007-04-24,PED,0.44
2007-04-24,SMD,0.94
2007-04-24,SMDA,0.51
2007-04-24,SPI,0.46
2007-04-25,NZDI,0.58
2007-04-25,PED,0.42
2007-04-25,SMD,0.92
2007-04-25,SMDA,0.52
2007-04-25,SPI,0.47
2007-04-26,NZDI,0.58
2007-04-26,PED,0.42
