Station,Date(NZST),Time(NZST),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
38057,2014 Jan 01,00,310,10.5,11.0,3.0,1,H
38057,2014 Jan 01,01,318,4.2,22.0,1.4,1,H
38057,2014 Jan 01,02,317,4.3,16.0,1.4,1,H
38057,2014 Jan 01,03,314,6.0,20.0,2.3,1,H
38057,2014 Jan 01,04,332,2.6,22.0,0.8,1,H
38057,2014 Jan 01,05,329,7.1,6.0,1.6,1,H
38057,2014 Jan 01,06,322,7.2,7.0,0.8,1,H
38057,2014 Jan 01,07,314,7.9,7.0,0.8,1,H
38057,2014 Jan 01,08,322,6.1,12.0,1.2,1,H
38057,2014 Jan 01,09,317,5.4,18.0,1.8,1,H
38057,2014 Jan 01,10,326,4.5,43.0,1.9,1,H
38057,2014 Jan 01,11,347,3.1,60.0,1.3,1,H
38057,2014 Jan 01,12,51,3.4,58.0,1.4,1,H
38057,2014 Jan 01,13,13,4.6,50.0,1.7,1,H
38057,2014 Jan 01,14,304,6.8,22.0,2.2,1,H
38057,2014 Jan 01,15,307,8.1,11.0,2.4,1,H
38057,2014 Jan 01,16,301,7.6,11.0,1.7,1,H
38057,2014 Jan 01,17,288,10.6,16.0,2.5,1,H
38057,2014 Jan 01,18,297,14.4,9.0,2.7,1,H
38057,2014 Jan 01,19,304,16.4,8.0,1.8,1,H
38057,2014 Jan 01,20,312,13.2,6.0,2.0,1,H
38057,2014 Jan 01,21,308,11.2,8.0,1.1,1,H
38057,2014 Jan 01,22,309,14.2,9.0,2.8,1,H
38057,2014 Jan 01,23,301,19.3,5.0,1.7,1,H
38057,2014 Jan 02,00,302,17.2,7.0,1.9,1,H
38057,2014 Jan 02,01,300,17.5,7.0,3.2,1,H
38057,2014 Jan 02,02,305,23.0,7.0,2.7,1,H
38057,2014 Jan 02,03,305,13.7,10.0,4.7,1,H
38057,2014 Jan 02,04,306,9.0,11.0,4.2,1,H
38057,2014 Jan 02,05,309,13.6,13.0,5.0,1,H
38057,2014 Jan 02,06,314,9.8,15.0,4.0,1,H
38057,2014 Jan 02,07,306,15.1,10.0,2.5,1,H
38057,2014 Jan 02,08,304,18.6,7.0,2.3,1,H
38057,2014 Jan 02,09,306,23.4,6.0,2.4,1,H
38057,2014 Jan 02,10,301,20.8,7.0,2.3,1,H
38057,2014 Jan 02,11,303,21.4,6.0,2.3,1,H
38057,2014 Jan 02,12,304,21.4,7.0,2.7,1,H
38057,2014 Jan 02,13,302,18.4,9.0,6.4,1,H
38057,2014 Jan 02,14,303,10.4,12.0,2.8,1,H
38057,2014 Jan 02,15,303,9.5,12.0,1.7,1,H
38057,2014 Jan 02,16,300,8.7,11.0,2.0,1,H
38057,2014 Jan 02,17,304,9.1,9.0,1.6,1,H
38057,2014 Jan 02,18,304,9.4,10.0,2.7,1,H
38057,2014 Jan 02,19,303,9.8,9.0,2.0,1,H
38057,2014 Jan 02,20,301,9.1,8.0,2.1,1,H
38057,2014 Jan 02,21,309,10.5,9.0,1.5,1,H
38057,2014 Jan 02,22,313,10.0,6.0,1.2,1,H
38057,2014 Jan 02,23,320,10.3,7.0,1.3,1,H
38057,2014 Jan 03,00,316,7.4,9.0,1.1,1,H
38057,2014 Jan 03,01,314,8.8,8.0,1.5,1,H
38057,2014 Jan 03,02,316,10.2,7.0,1.4,1,H
38057,2014 Jan 03,03,317,8.2,10.0,1.6,1,H
38057,2014 Jan 03,04,315,11.0,12.0,3.8,1,H
38057,2014 Jan 03,05,304,23.0,6.0,2.5,1,H
38057,2014 Jan 03,06,308,21.3,9.0,2.2,1,H
38057,2014 Jan 03,07,316,16.8,7.0,3.3,1,H
38057,2014 Jan 03,08,333,8.0,14.0,2.3,1,H
38057,2014 Jan 03,09,326,8.5,19.0,3.7,1,H
38057,2014 Jan 03,10,308,20.3,10.0,3.6,1,H
38057,2014 Jan 03,11,312,19.2,10.0,3.8,1,H
38057,2014 Jan 03,12,318,17.0,10.0,3.2,1,H
38057,2014 Jan 03,13,316,14.3,13.0,3.5,1,H
38057,2014 Jan 03,14,310,17.0,11.0,4.2,1,H
38057,2014 Jan 03,15,308,21.8,9.0,3.8,1,H
38057,2014 Jan 03,16,309,19.9,10.0,3.4,1,H
38057,2014 Jan 03,17,310,15.7,10.0,2.6,1,H
