Station,Date(NZST),Time(NZST),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
22719,2014 Jan 01,00,13,0.3,45.0,0.3,1,H
22719,2014 Jan 01,01,87,0.8,50.0,0.5,1,H
22719,2014 Jan 01,02,85,1.2,10.0,0.3,1,H
22719,2014 Jan 01,03,82,1.0,12.0,0.2,1,H
22719,2014 Jan 01,04,72,1.0,7.0,0.6,1,H
22719,2014 Jan 01,05,59,0.5,14.0,0.4,1,H
22719,2014 Jan 01,06,135,0.2,5.0,0.2,1,H
22719,2014 Jan 01,07,205,0.5,62.0,0.3,1,H
22719,2014 Jan 01,08,273,0.9,97.0,0.6,1,H
22719,2014 Jan 01,09,44,2.1,17.0,0.6,1,H
22719,2014 Jan 01,10,320,2.3,28.0,1.0,1,H
22719,2014 Jan 01,11,28,3.2,23.0,1.1,1,H
22719,2014 Jan 01,12,18,3.1,22.0,0.8,1,H
22719,2014 Jan 01,13,342,2.6,39.0,1.0,1,H
22719,2014 Jan 01,14,306,2.4,42.0,0.9,1,H
22719,2014 Jan 01,15,312,3.2,64.0,1.3,1,H
22719,2014 Jan 01,16,348,2.5,35.0,1.2,1,H
22719,2014 Jan 01,17,360,2.5,44.0,1.1,1,H
22719,2014 Jan 01,18,257,7.9,22.0,2.4,1,H
22719,2014 Jan 01,19,257,6.8,11.0,1.4,1,H
22719,2014 Jan 01,20,268,4.4,19.0,1.0,1,H
22719,2014 Jan 01,21,288,4.2,12.0,0.8,1,H
22719,2014 Jan 01,22,293,3.2,17.0,0.7,1,H
22719,2014 Jan 01,23,318,2.6,8.0,0.3,1,H
22719,2014 Jan 02,00,300,2.4,16.0,0.5,1,H
22719,2014 Jan 02,01,261,2.3,18.0,0.5,1,H
22719,2014 Jan 02,02,230,2.1,26.0,0.7,1,H
22719,2014 Jan 02,03,198,1.9,13.0,0.5,1,H
22719,2014 Jan 02,04,211,2.7,6.0,0.5,1,H
22719,2014 Jan 02,05,206,2.1,10.0,0.5,1,H
