Station,Date(NZST),Time(NZST),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
12430,2014 Jan 01,01,287,3.0,-,-,1,H
12430,2014 Jan 01,02,278,3.4,-,-,1,H
12430,2014 Jan 01,03,266,2.7,-,-,1,H
12430,2014 Jan 01,04,270,2.2,-,-,1,H
12430,2014 Jan 01,05,289,0.6,-,-,1,H
12430,2014 Jan 01,06,254,1.2,-,-,1,H
12430,2014 Jan 01,07,259,1.9,-,-,1,H
12430,2014 Jan 01,08,248,1.3,-,-,1,H
12430,2014 Jan 01,09,254,3.3,-,-,1,H
12430,2014 Jan 01,10,274,3.3,-,-,1,H
12430,2014 Jan 01,11,260,2.0,-,-,1,H
12430,2014 Jan 01,12,291,1.2,-,-,1,H
12430,2014 Jan 01,13,358,1.4,-,-,1,H
12430,2014 Jan 01,14,334,1.3,-,-,1,H
12430,2014 Jan 01,15,11,1.6,-,-,1,H
12430,2014 Jan 01,16,337,3.1,-,-,1,H
12430,2014 Jan 01,17,340,2.3,-,-,1,H
12430,2014 Jan 01,18,332,4.2,-,-,1,H
12430,2014 Jan 01,19,297,5.2,-,-,1,H
12430,2014 Jan 01,20,264,4.5,-,-,1,H
12430,2014 Jan 01,21,264,4.7,-,-,1,H
12430,2014 Jan 01,22,308,1.9,-,-,1,H
12430,2014 Jan 01,23,286,2.2,-,-,1,H
12430,2014 Jan 02,00,274,3.8,-,-,1,H
12430,2014 Jan 02,01,278,4.5,-,-,1,H
12430,2014 Jan 02,02,275,4.1,-,-,1,H
12430,2014 Jan 02,03,270,3.7,-,-,1,H
12430,2014 Jan 02,04,272,3.0,-,-,1,H
12430,2014 Jan 02,05,282,3.3,-,-,1,H
12430,2014 Jan 02,06,205,1.1,-,-,1,H
12430,2014 Jan 02,07,274,3.0,-,-,1,H
12430,2014 Jan 02,08,286,4.2,-,-,1,H
12430,2014 Jan 02,09,277,3.9,-,-,1,H
12430,2014 Jan 02,10,300,4.0,-,-,1,H
12430,2014 Jan 02,11,303,5.1,-,-,1,H
12430,2014 Jan 02,12,316,3.8,-,-,1,H
12430,2014 Jan 02,13,320,4.0,-,-,1,H
12430,2014 Jan 02,14,303,5.9,-,-,1,H
12430,2014 Jan 02,15,309,7.5,-,-,1,H
12430,2014 Jan 02,16,319,6.3,-,-,1,H
12430,2014 Jan 02,17,342,4.4,-,-,1,H
12430,2014 Jan 02,18,343,4.4,-,-,1,H
12430,2014 Jan 02,19,315,4.5,-,-,1,H
12430,2014 Jan 02,20,314,4.5,-,-,1,H
12430,2014 Jan 02,21,311,4.2,-,-,1,H
12430,2014 Jan 02,22,298,4.1,-,-,1,H
12430,2014 Jan 02,23,306,6.2,-,-,1,H
12430,2014 Jan 03,00,314,2.9,-,-,1,H
12430,2014 Jan 03,01,314,3.7,-,-,1,H
12430,2014 Jan 03,02,316,6.6,-,-,1,H
12430,2014 Jan 03,03,318,6.8,-,-,1,H
12430,2014 Jan 03,04,310,7.3,-,-,1,H
12430,2014 Jan 03,05,303,6.9,-,-,1,H
12430,2014 Jan 03,06,302,7.4,-,-,1,H
12430,2014 Jan 03,07,293,7.2,-,-,1,H
12430,2014 Jan 03,08,306,4.5,-,-,1,H
12430,2014 Jan 03,09,318,5.7,-,-,1,H
12430,2014 Jan 03,10,268,3.0,-,-,1,H
12430,2014 Jan 03,11,268,2.2,-,-,1,H
12430,2014 Jan 03,12,291,2.4,-,-,1,H
12430,2014 Jan 03,13,289,4.8,-,-,1,H
12430,2014 Jan 03,14,318,4.1,-,-,1,H
12430,2014 Jan 03,15,324,6.2,-,-,1,H
12430,2014 Jan 03,16,313,6.7,-,-,1,H
12430,2014 Jan 03,17,312,7.3,-,-,1,H
12430,2014 Jan 03,18,300,7.6,-,-,1,H
12430,2014 Jan 03,19,302,6.2,-,-,1,H
12430,2014 Jan 03,20,306,5.2,-,-,1,H
12430,2014 Jan 03,21,296,4.8,-,-,1,H
12430,2014 Jan 03,22,278,4.2,-,-,1,H
12430,2014 Jan 03,23,288,3.9,-,-,1,H
12430,2014 Jan 04,00,314,2.9,-,-,1,H
12430,2014 Jan 04,01,293,2.0,-,-,1,H
12430,2014 Jan 04,02,252,2.4,-,-,1,H
12430,2014 Jan 04,03,273,3.2,-,-,1,H
12430,2014 Jan 04,04,271,2.8,-,-,1,H
12430,2014 Jan 04,05,276,3.9,-,-,1,H
12430,2014 Jan 04,06,268,4.6,-,-,1,H
12430,2014 Jan 04,07,263,5.5,-,-,1,H
12430,2014 Jan 04,08,267,5.5,-,-,1,H
12430,2014 Jan 04,09,266,5.7,-,-,1,H
12430,2014 Jan 04,10,272,5.4,-,-,1,H
12430,2014 Jan 04,11,286,4.7,-,-,1,H
12430,2014 Jan 04,12,300,4.7,-,-,1,H
12430,2014 Jan 04,13,318,4.5,-,-,1,H
12430,2014 Jan 04,14,327,3.6,-,-,1,H
12430,2014 Jan 04,15,327,4.2,-,-,1,H
12430,2014 Jan 04,16,306,6.8,-,-,1,H
12430,2014 Jan 04,17,292,4.5,-,-,1,H
12430,2014 Jan 04,18,309,4.3,-,-,1,H
12430,2014 Jan 04,19,292,5.2,-,-,1,H
12430,2014 Jan 04,20,1,1.7,-,-,1,H
12430,2014 Jan 04,21,5,1.5,-,-,1,H
12430,2014 Jan 04,22,15,1.3,-,-,1,H
12430,2014 Jan 04,23,334,1.0,-,-,1,H
12430,2014 Jan 05,00,36,0.5,-,-,1,H
12430,2014 Jan 05,01,284,1.6,-,-,1,H
12430,2014 Jan 05,02,288,5.4,-,-,1,H
12430,2014 Jan 05,03,270,4.7,-,-,1,H
12430,2014 Jan 05,04,284,6.8,-,-,1,H
12430,2014 Jan 05,05,271,3.2,-,-,1,H
12430,2014 Jan 05,06,266,3.4,-,-,1,H
12430,2014 Jan 05,07,270,1.8,-,-,1,H
12430,2014 Jan 05,08,238,1.1,-,-,1,H
