Station,Date(NZST),Time(NZST),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
24120,2014 Jan 01,00,26,0.9,27.0,0.3,1,H
24120,2014 Jan 01,01,35,0.7,37.0,0.4,1,H
24120,2014 Jan 01,02,76,1.0,37.0,0.4,1,H
24120,2014 Jan 01,03,58,0.7,45.0,0.4,1,H
24120,2014 Jan 01,04,34,1.4,21.0,0.4,1,H
24120,2014 Jan 01,05,52,1.6,15.0,0.4,1,H
24120,2014 Jan 01,06,21,1.9,14.0,0.5,1,H
24120,2014 Jan 01,07,15,2.2,18.0,0.9,1,H
24120,2014 Jan 01,08,11,3.1,15.0,0.8,1,H
24120,2014 Jan 01,09,18,3.1,18.0,0.9,1,H
24120,2014 Jan 01,10,14,3.4,18.0,1.1,1,H
24120,2014 Jan 01,11,5,4.8,19.0,1.4,1,H
24120,2014 Jan 01,12,356,4.9,21.0,1.6,1,H
24120,2014 Jan 01,13,17,3.8,20.0,1.4,1,H
24120,2014 Jan 01,14,1,4.4,19.0,1.3,1,H
24120,2014 Jan 01,15,310,3.0,36.0,1.3,1,H
24120,2014 Jan 01,16,306,5.4,22.0,1.8,1,H
24120,2014 Jan 01,17,304,4.9,23.0,1.5,1,H
24120,2014 Jan 01,18,317,4.0,21.0,1.3,1,H
24120,2014 Jan 01,19,301,3.8,22.0,1.3,1,H
24120,2014 Jan 01,20,300,3.7,19.0,1.2,1,H
24120,2014 Jan 01,21,304,2.8,24.0,1.2,1,H
24120,2014 Jan 01,22,289,2.7,22.0,1.1,1,H
24120,2014 Jan 01,23,288,2.8,30.0,1.2,1,H
24120,2014 Jan 02,00,274,2.8,22.0,0.9,1,H
24120,2014 Jan 02,01,272,2.6,22.0,1.0,1,H
24120,2014 Jan 02,02,282,2.4,22.0,1.0,1,H
24120,2014 Jan 02,03,332,1.4,40.0,0.6,1,H
24120,2014 Jan 02,04,68,0.8,25.0,0.3,1,H
24120,2014 Jan 02,05,66,1.3,46.0,0.6,1,H
24120,2014 Jan 02,06,314,1.1,45.0,0.6,1,H
24120,2014 Jan 02,07,47,0.9,52.0,0.5,1,H
24120,2014 Jan 02,08,31,1.6,21.0,0.5,1,H
24120,2014 Jan 02,09,26,2.0,23.0,0.6,1,H
24120,2014 Jan 02,10,4,2.5,20.0,0.8,1,H
24120,2014 Jan 02,11,342,3.6,24.0,1.1,1,H
24120,2014 Jan 02,12,334,3.0,24.0,1.0,1,H
24120,2014 Jan 02,13,314,3.0,24.0,1.1,1,H
24120,2014 Jan 02,14,326,4.1,25.0,1.7,1,H
24120,2014 Jan 02,15,317,5.8,22.0,1.9,1,H
24120,2014 Jan 02,16,331,5.8,24.0,2.0,1,H
24120,2014 Jan 02,17,358,4.4,16.0,1.2,1,H
24120,2014 Jan 02,18,356,5.1,18.0,1.5,1,H
