Station,Date(NZST),Time(NZST),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
15752,2014 Jan 01,00,340,2.0,36.0,0.6,1,H
15752,2014 Jan 01,01,296,1.2,68.0,0.5,1,H
15752,2014 Jan 01,02,12,1.3,59.0,0.9,1,H
15752,2014 Jan 01,03,28,0.8,36.0,0.6,1,H
15752,2014 Jan 01,04,37,0.6,67.0,0.4,1,H
15752,2014 Jan 01,05,16,1.4,29.0,0.5,1,H
15752,2014 Jan 01,06,27,1.1,41.0,0.7,1,H
15752,2014 Jan 01,07,9,0.7,42.0,0.4,1,H
15752,2014 Jan 01,08,255,1.5,64.0,0.7,1,H
15752,2014 Jan 01,09,225,2.9,19.0,0.7,1,H
15752,2014 Jan 01,10,251,2.4,22.0,0.7,1,H
15752,2014 Jan 01,11,270,3.1,17.0,0.7,1,H
15752,2014 Jan 01,12,205,4.2,19.0,0.9,1,H
15752,2014 Jan 01,13,173,2.4,24.0,0.8,1,H
15752,2014 Jan 01,14,145,1.8,21.0,0.5,1,H
15752,2014 Jan 01,15,128,1.7,53.0,0.6,1,H
15752,2014 Jan 01,16,213,2.6,17.0,0.6,1,H
15752,2014 Jan 01,17,227,3.2,15.0,0.7,1,H
15752,2014 Jan 01,18,231,2.8,19.0,0.7,1,H
15752,2014 Jan 01,19,271,1.9,25.0,0.6,1,H
15752,2014 Jan 01,20,302,2.0,22.0,0.6,1,H
15752,2014 Jan 01,21,296,1.7,13.0,0.6,1,H
15752,2014 Jan 01,22,307,1.3,22.0,0.6,1,H
15752,2014 Jan 01,23,340,1.1,26.0,0.5,1,H
15752,2014 Jan 02,00,336,1.5,30.0,0.5,1,H
15752,2014 Jan 02,01,17,1.0,36.0,0.4,1,H
15752,2014 Jan 02,02,359,1.4,31.0,0.5,1,H
15752,2014 Jan 02,03,2,1.3,45.0,0.8,1,H
15752,2014 Jan 02,04,344,0.4,52.0,0.3,1,H
15752,2014 Jan 02,05,313,1.0,35.0,0.5,1,H
15752,2014 Jan 02,06,14,0.9,51.0,0.4,1,H
15752,2014 Jan 02,07,44,1.4,25.0,0.4,1,H
15752,2014 Jan 02,08,326,1.2,31.0,0.5,1,H
15752,2014 Jan 02,09,325,1.2,34.0,0.6,1,H
15752,2014 Jan 02,10,310,3.6,25.0,1.1,1,H
15752,2014 Jan 02,11,52,1.5,69.0,0.6,1,H
15752,2014 Jan 02,12,62,2.7,36.0,1.4,1,H
15752,2014 Jan 02,13,47,3.5,53.0,1.4,1,H
15752,2014 Jan 02,14,27,3.8,53.0,1.6,1,H
15752,2014 Jan 02,15,28,3.8,53.0,1.7,1,H
15752,2014 Jan 02,16,52,3.6,52.0,1.8,1,H
15752,2014 Jan 02,17,48,2.9,52.0,1.5,1,H
15752,2014 Jan 02,18,39,2.6,50.0,1.2,1,H
15752,2014 Jan 02,19,15,2.0,36.0,0.8,1,H
15752,2014 Jan 02,20,45,3.2,42.0,1.6,1,H
15752,2014 Jan 02,21,40,2.7,53.0,1.3,1,H
15752,2014 Jan 02,22,64,2.3,34.0,1.0,1,H
15752,2014 Jan 02,23,3,2.2,32.0,0.8,1,H
15752,2014 Jan 03,00,14,5.3,34.0,2.7,1,H
15752,2014 Jan 03,01,7,7.5,31.0,2.5,1,H
15752,2014 Jan 03,02,9,5.7,33.0,2.8,1,H
15752,2014 Jan 03,03,48,2.1,47.0,1.0,1,H
15752,2014 Jan 03,04,28,3.0,42.0,1.5,1,H
15752,2014 Jan 03,05,38,2.8,43.0,1.1,1,H
15752,2014 Jan 03,06,8,3.0,29.0,0.8,1,H
15752,2014 Jan 03,07,5,1.7,98.0,0.8,1,H
15752,2014 Jan 03,08,10,1.3,84.0,0.7,1,H
15752,2014 Jan 03,09,203,2.5,65.0,1.3,1,H
15752,2014 Jan 03,10,185,2.5,21.0,0.9,1,H
15752,2014 Jan 03,11,283,4.9,59.0,2.3,1,H
15752,2014 Jan 03,12,311,7.1,21.0,2.1,1,H
15752,2014 Jan 03,13,300,6.5,20.0,2.0,1,H
15752,2014 Jan 03,14,201,4.2,38.0,1.4,1,H
15752,2014 Jan 03,15,100,2.0,61.0,0.8,1,H
15752,2014 Jan 03,16,149,3.0,51.0,1.4,1,H
15752,2014 Jan 03,17,153,3.1,19.0,0.9,1,H
15752,2014 Jan 03,18,116,2.2,27.0,0.9,1,H
15752,2014 Jan 03,19,339,1.9,79.0,2.5,1,H
15752,2014 Jan 03,20,265,7.0,18.0,1.9,1,H
15752,2014 Jan 03,21,260,5.5,17.0,1.6,1,H
15752,2014 Jan 03,22,248,4.1,17.0,1.1,1,H
15752,2014 Jan 03,23,256,3.5,17.0,1.0,1,H
15752,2014 Jan 04,00,250,4.4,18.0,1.2,1,H
15752,2014 Jan 04,01,240,5.2,16.0,1.2,1,H
15752,2014 Jan 04,02,251,4.1,23.0,1.6,1,H
15752,2014 Jan 04,03,328,1.6,69.0,0.9,1,H
15752,2014 Jan 04,04,353,1.2,65.0,0.6,1,H
15752,2014 Jan 04,05,341,0.6,61.0,0.4,1,H
15752,2014 Jan 04,06,311,0.4,49.0,0.3,1,H
15752,2014 Jan 04,07,121,1.0,95.0,0.6,1,H
15752,2014 Jan 04,08,143,1.6,21.0,0.6,1,H
15752,2014 Jan 04,09,135,2.6,17.0,0.7,1,H
15752,2014 Jan 04,10,88,4.5,32.0,1.8,1,H
15752,2014 Jan 04,11,71,5.3,26.0,1.8,1,H
15752,2014 Jan 04,12,65,5.9,34.0,2.3,1,H
15752,2014 Jan 04,13,45,4.5,58.0,1.9,1,H
15752,2014 Jan 04,14,59,5.0,45.0,2.2,1,H
15752,2014 Jan 04,15,62,5.8,40.0,2.6,1,H
15752,2014 Jan 04,16,56,5.2,45.0,2.2,1,H
15752,2014 Jan 04,17,18,4.7,44.0,1.8,1,H
15752,2014 Jan 04,18,34,4.1,52.0,1.6,1,H
15752,2014 Jan 04,19,65,4.7,33.0,1.8,1,H
15752,2014 Jan 04,20,64,4.4,37.0,1.9,1,H
15752,2014 Jan 04,21,59,3.3,42.0,1.4,1,H
15752,2014 Jan 04,22,15,3.1,45.0,1.4,1,H
15752,2014 Jan 04,23,6,2.8,37.0,1.0,1,H
15752,2014 Jan 05,00,17,2.7,46.0,1.1,1,H
15752,2014 Jan 05,01,21,2.2,35.0,0.9,1,H
15752,2014 Jan 05,02,343,2.5,31.0,0.9,1,H
15752,2014 Jan 05,03,17,2.2,27.0,0.5,1,H
15752,2014 Jan 05,04,115,1.8,88.0,1.6,1,H
15752,2014 Jan 05,05,224,4.2,37.0,1.7,1,H
