Station,Date(NZST),Time(NZST),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
24976,2014 Jan 01,00,0,0.0,0.0,0.0,1,H
24976,2014 Jan 01,01,0,0.0,1.0,0.0,1,H
24976,2014 Jan 01,02,233,0.1,2.0,0.1,1,H
24976,2014 Jan 01,03,288,0.1,28.0,0.1,1,H
24976,2014 Jan 01,04,300,0.1,18.0,0.1,1,H
24976,2014 Jan 01,05,301,0.1,24.0,0.1,1,H
24976,2014 Jan 01,06,358,1.5,16.0,0.5,1,H
24976,2014 Jan 01,07,354,1.9,18.0,0.4,1,H
24976,2014 Jan 01,08,358,2.4,19.0,0.8,1,H
24976,2014 Jan 01,09,351,3.5,23.0,1.0,1,H
24976,2014 Jan 01,10,351,2.8,35.0,1.0,1,H
24976,2014 Jan 01,11,316,3.6,32.0,1.3,1,H
24976,2014 Jan 01,12,338,5.5,24.0,1.7,1,H
24976,2014 Jan 01,13,331,6.0,21.0,1.8,1,H
24976,2014 Jan 01,14,333,5.1,24.0,1.8,1,H
24976,2014 Jan 01,15,326,6.3,21.0,1.8,1,H
24976,2014 Jan 01,16,315,6.3,25.0,2.0,1,H
24976,2014 Jan 01,17,320,5.6,25.0,1.9,1,H
24976,2014 Jan 01,18,318,3.5,26.0,1.3,1,H
24976,2014 Jan 01,19,350,3.4,25.0,1.2,1,H
24976,2014 Jan 01,20,356,1.2,27.0,0.3,1,H
24976,2014 Jan 01,21,319,0.7,69.0,0.5,1,H
24976,2014 Jan 01,22,55,0.9,32.0,0.4,1,H
24976,2014 Jan 01,23,360,2.2,19.0,0.8,1,H
24976,2014 Jan 02,00,337,2.3,20.0,1.3,1,H
24976,2014 Jan 02,01,21,0.8,88.0,0.4,1,H
24976,2014 Jan 02,02,334,0.7,79.0,0.4,1,H
24976,2014 Jan 02,03,269,0.9,60.0,0.5,1,H
24976,2014 Jan 02,04,336,0.5,74.0,0.4,1,H
24976,2014 Jan 02,05,266,0.9,51.0,0.4,1,H
24976,2014 Jan 02,06,304,1.0,47.0,0.5,1,H
24976,2014 Jan 02,07,229,1.0,58.0,0.5,1,H
24976,2014 Jan 02,08,341,1.6,34.0,0.6,1,H
24976,2014 Jan 02,09,329,2.2,35.0,0.8,1,H
24976,2014 Jan 02,10,323,2.8,33.0,1.0,1,H
24976,2014 Jan 02,11,326,4.0,27.0,1.3,1,H
24976,2014 Jan 02,12,330,4.0,23.0,1.2,1,H
24976,2014 Jan 02,13,323,3.7,35.0,1.3,1,H
24976,2014 Jan 02,14,320,3.0,31.0,1.2,1,H
24976,2014 Jan 02,15,341,3.3,25.0,1.1,1,H
24976,2014 Jan 02,16,337,3.3,25.0,1.2,1,H
24976,2014 Jan 02,17,340,4.0,39.0,1.6,1,H
24976,2014 Jan 02,18,337,3.1,39.0,1.3,1,H
24976,2014 Jan 02,19,335,3.4,24.0,1.2,1,H
24976,2014 Jan 02,20,334,3.6,24.0,1.1,1,H
24976,2014 Jan 02,21,338,3.6,22.0,1.1,1,H
24976,2014 Jan 02,22,340,3.1,20.0,1.3,1,H
24976,2014 Jan 02,23,340,2.9,23.0,1.1,1,H
24976,2014 Jan 03,00,323,5.1,17.0,1.4,1,H
24976,2014 Jan 03,01,328,3.4,21.0,1.3,1,H
24976,2014 Jan 03,02,345,2.7,22.0,0.8,1,H
24976,2014 Jan 03,03,336,2.8,23.0,1.0,1,H
24976,2014 Jan 03,04,342,3.5,21.0,1.2,1,H
24976,2014 Jan 03,05,334,3.0,26.0,1.1,1,H
24976,2014 Jan 03,06,340,4.4,20.0,1.3,1,H
24976,2014 Jan 03,07,344,5.6,19.0,1.6,1,H
24976,2014 Jan 03,08,346,6.0,20.0,1.5,1,H
24976,2014 Jan 03,09,333,5.6,22.0,1.8,1,H
24976,2014 Jan 03,10,326,6.7,20.0,2.1,1,H
24976,2014 Jan 03,11,333,6.9,22.0,2.1,1,H
24976,2014 Jan 03,12,328,5.9,24.0,1.9,1,H
24976,2014 Jan 03,13,334,4.7,22.0,1.5,1,H
24976,2014 Jan 03,14,334,5.7,22.0,1.8,1,H
24976,2014 Jan 03,15,328,7.0,21.0,2.0,1,H
24976,2014 Jan 03,16,334,6.6,21.0,2.1,1,H
24976,2014 Jan 03,17,327,5.9,21.0,1.9,1,H
24976,2014 Jan 03,18,331,5.3,22.0,1.9,1,H
24976,2014 Jan 03,19,340,5.3,21.0,1.7,1,H
24976,2014 Jan 03,20,337,4.6,21.0,1.6,1,H
24976,2014 Jan 03,21,337,4.5,21.0,1.6,1,H
