Station,Date(NZST),Time(NZST),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
23934,2014 Jan 01,00,63,3.7,11.0,0.7,1,H
23934,2014 Jan 01,01,70,4.0,11.0,0.7,1,H
23934,2014 Jan 01,02,75,5.0,11.0,1.2,1,H
23934,2014 Jan 01,03,83,2.8,19.0,1.1,1,H
23934,2014 Jan 01,04,75,4.0,15.0,1.1,1,H
23934,2014 Jan 01,05,68,4.3,14.0,1.1,1,H
23934,2014 Jan 01,06,82,5.6,16.0,1.2,1,H
23934,2014 Jan 01,07,64,5.1,21.0,1.9,1,H
23934,2014 Jan 01,08,12,5.2,35.0,2.1,1,H
23934,2014 Jan 01,09,50,4.7,23.0,1.0,1,H
23934,2014 Jan 01,10,24,3.7,24.0,1.1,1,H
23934,2014 Jan 01,11,13,5.2,16.0,1.2,1,H
23934,2014 Jan 01,12,337,5.4,31.0,1.5,1,H
23934,2014 Jan 01,13,286,5.3,16.0,1.3,1,H
23934,2014 Jan 01,14,297,5.6,13.0,1.1,1,H
23934,2014 Jan 01,15,271,6.0,18.0,2.2,1,H
23934,2014 Jan 01,16,305,5.5,17.0,1.3,1,H
23934,2014 Jan 01,17,284,5.0,23.0,2.1,1,H
23934,2014 Jan 01,18,304,4.5,23.0,1.3,1,H
23934,2014 Jan 01,19,233,6.2,30.0,1.6,1,H
23934,2014 Jan 01,20,172,2.2,65.0,1.1,1,H
23934,2014 Jan 01,21,111,1.4,35.0,0.5,1,H
23934,2014 Jan 01,22,71,1.2,36.0,0.5,1,H
23934,2014 Jan 01,23,31,2.2,22.0,0.6,1,H
23934,2014 Jan 02,00,30,1.5,18.0,0.5,1,H
23934,2014 Jan 02,01,159,2.1,84.0,1.4,1,H
23934,2014 Jan 02,02,30,1.5,94.0,0.6,1,H
23934,2014 Jan 02,03,92,1.7,21.0,0.5,1,H
23934,2014 Jan 02,04,334,3.8,33.0,1.8,1,H
23934,2014 Jan 02,05,11,3.0,31.0,1.1,1,H
23934,2014 Jan 02,06,323,5.3,15.0,1.3,1,H
23934,2014 Jan 02,07,341,4.2,18.0,1.0,1,H
23934,2014 Jan 02,08,305,4.7,13.0,1.1,1,H
23934,2014 Jan 02,09,313,5.1,13.0,1.1,1,H
23934,2014 Jan 02,10,319,5.4,10.0,0.8,1,H
23934,2014 Jan 02,11,319,5.6,11.0,1.1,1,H
23934,2014 Jan 02,12,317,5.4,12.0,1.0,1,H
23934,2014 Jan 02,13,316,5.3,12.0,1.0,1,H
23934,2014 Jan 02,14,323,5.4,11.0,0.9,1,H
23934,2014 Jan 02,15,330,5.3,12.0,0.9,1,H
23934,2014 Jan 02,16,339,4.8,16.0,1.0,1,H
23934,2014 Jan 02,17,350,4.5,20.0,1.2,1,H
23934,2014 Jan 02,18,346,4.6,18.0,1.1,1,H
23934,2014 Jan 02,19,349,4.9,21.0,1.3,1,H
23934,2014 Jan 02,20,344,5.2,18.0,1.3,1,H
23934,2014 Jan 02,21,359,5.1,19.0,1.4,1,H
23934,2014 Jan 02,22,13,5.8,17.0,1.3,1,H
23934,2014 Jan 02,23,15,6.9,18.0,1.6,1,H
23934,2014 Jan 03,00,13,7.6,16.0,1.7,1,H
23934,2014 Jan 03,01,20,8.5,14.0,2.0,1,H
23934,2014 Jan 03,02,17,9.1,15.0,2.1,1,H
23934,2014 Jan 03,03,14,9.6,16.0,2.3,1,H
23934,2014 Jan 03,04,12,10.0,17.0,2.3,1,H
23934,2014 Jan 03,05,11,9.6,19.0,2.2,1,H
23934,2014 Jan 03,06,4,8.8,20.0,2.7,1,H
23934,2014 Jan 03,07,317,6.5,15.0,1.8,1,H
23934,2014 Jan 03,08,311,5.1,13.0,1.0,1,H
23934,2014 Jan 03,09,321,5.8,11.0,1.0,1,H
23934,2014 Jan 03,10,322,5.7,12.0,1.3,1,H
23934,2014 Jan 03,11,327,6.1,12.0,1.1,1,H
23934,2014 Jan 03,12,334,6.1,16.0,1.8,1,H
23934,2014 Jan 03,13,328,6.4,12.0,1.3,1,H
23934,2014 Jan 03,14,311,5.5,25.0,1.4,1,H
23934,2014 Jan 03,15,313,5.8,14.0,1.4,1,H
23934,2014 Jan 03,16,310,6.0,14.0,1.4,1,H
23934,2014 Jan 03,17,294,5.8,16.0,1.3,1,H
23934,2014 Jan 03,18,273,5.7,15.0,1.2,1,H
23934,2014 Jan 03,19,269,6.1,14.0,1.5,1,H
23934,2014 Jan 03,20,286,5.3,20.0,1.6,1,H
23934,2014 Jan 03,21,270,6.0,16.0,1.4,1,H
23934,2014 Jan 03,22,264,5.2,21.0,1.2,1,H
23934,2014 Jan 03,23,249,4.8,14.0,1.2,1,H
23934,2014 Jan 04,00,232,3.8,17.0,0.8,1,H
23934,2014 Jan 04,01,161,1.1,26.0,0.7,1,H
23934,2014 Jan 04,02,119,0.8,12.0,0.5,1,H
23934,2014 Jan 04,03,93,1.2,27.0,0.4,1,H
23934,2014 Jan 04,04,105,1.0,39.0,0.7,1,H
23934,2014 Jan 04,05,94,1.4,16.0,0.4,1,H
23934,2014 Jan 04,06,97,1.2,8.0,0.6,1,H
23934,2014 Jan 04,07,96,1.1,13.0,0.6,1,H
23934,2014 Jan 04,08,51,3.2,10.0,0.6,1,H
23934,2014 Jan 04,09,54,2.3,19.0,0.5,1,H
23934,2014 Jan 04,10,46,2.1,34.0,0.7,1,H
23934,2014 Jan 04,11,330,2.1,37.0,0.5,1,H
23934,2014 Jan 04,12,322,2.8,13.0,0.6,1,H
23934,2014 Jan 04,13,334,3.2,15.0,0.7,1,H
23934,2014 Jan 04,14,338,3.4,16.0,0.7,1,H
23934,2014 Jan 04,15,335,3.5,17.0,1.2,1,H
23934,2014 Jan 04,16,353,3.8,20.0,1.1,1,H
23934,2014 Jan 04,17,351,2.9,20.0,0.7,1,H
23934,2014 Jan 04,18,342,2.4,16.0,0.7,1,H
23934,2014 Jan 04,19,336,2.4,16.0,0.6,1,H
23934,2014 Jan 04,20,6,2.3,26.0,0.8,1,H
23934,2014 Jan 04,21,20,1.6,19.0,0.4,1,H
23934,2014 Jan 04,22,116,2.3,17.0,0.6,1,H
23934,2014 Jan 04,23,95,2.1,38.0,0.6,1,H
23934,2014 Jan 05,00,134,1.5,22.0,0.5,1,H
23934,2014 Jan 05,01,75,2.9,31.0,1.5,1,H
23934,2014 Jan 05,02,80,3.3,20.0,1.3,1,H
23934,2014 Jan 05,03,72,3.4,14.0,1.4,1,H
23934,2014 Jan 05,04,69,3.7,11.0,0.9,1,H
23934,2014 Jan 05,05,67,2.1,24.0,1.0,1,H
