Station,Date(NZST),Time(NZST),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
5823,2014 Jan 01,00,317,2.1,44.0,1.0,1,H
5823,2014 Jan 01,01,305,1.7,50.0,0.8,1,H
5823,2014 Jan 01,02,310,2.1,29.0,0.7,1,H
5823,2014 Jan 01,03,319,1.2,49.0,0.6,1,H
5823,2014 Jan 01,04,49,1.6,17.0,0.7,1,H
5823,2014 Jan 01,05,61,2.2,11.0,0.6,1,H
5823,2014 Jan 01,06,36,1.3,31.0,0.6,1,H
5823,2014 Jan 01,07,343,0.8,31.0,0.5,1,H
5823,2014 Jan 01,08,297,0.9,34.0,0.4,1,H
5823,2014 Jan 01,09,294,1.1,33.0,0.5,1,H
5823,2014 Jan 01,10,248,1.9,36.0,0.5,1,H
5823,2014 Jan 01,11,191,2.5,24.0,0.9,1,H
5823,2014 Jan 01,12,229,3.8,35.0,1.4,1,H
5823,2014 Jan 01,13,232,3.4,31.0,1.5,1,H
5823,2014 Jan 01,14,194,3.7,25.0,1.2,1,H
5823,2014 Jan 01,15,198,2.8,25.0,0.9,1,H
5823,2014 Jan 01,16,205,2.5,42.0,0.9,1,H
5823,2014 Jan 01,17,263,5.9,10.0,1.1,1,H
5823,2014 Jan 01,18,266,6.9,11.0,1.1,1,H
5823,2014 Jan 01,19,259,7.4,10.0,1.1,1,H
5823,2014 Jan 01,20,254,6.7,13.0,1.5,1,H
5823,2014 Jan 01,21,258,6.5,14.0,1.8,1,H
5823,2014 Jan 01,22,260,7.0,11.0,1.4,1,H
5823,2014 Jan 01,23,321,2.0,86.0,1.1,1,H
5823,2014 Jan 02,00,323,2.5,54.0,1.3,1,H
5823,2014 Jan 02,01,309,5.2,25.0,1.5,1,H
5823,2014 Jan 02,02,302,5.3,39.0,1.6,1,H
5823,2014 Jan 02,03,297,3.5,57.0,1.2,1,H
5823,2014 Jan 02,04,308,4.3,31.0,1.3,1,H
5823,2014 Jan 02,05,294,3.6,52.0,1.3,1,H
5823,2014 Jan 02,06,290,3.4,54.0,1.7,1,H
5823,2014 Jan 02,07,13,1.4,63.0,0.7,1,H
5823,2014 Jan 02,08,36,1.1,68.0,0.7,1,H
5823,2014 Jan 02,09,320,2.8,53.0,1.6,1,H
5823,2014 Jan 02,10,325,2.5,41.0,1.0,1,H
5823,2014 Jan 02,11,16,1.5,93.0,0.8,1,H
5823,2014 Jan 02,12,49,1.7,93.0,0.8,1,H
5823,2014 Jan 02,13,311,2.5,67.0,1.4,1,H
5823,2014 Jan 02,14,320,2.4,56.0,1.1,1,H
5823,2014 Jan 02,15,321,3.3,41.0,1.4,1,H
5823,2014 Jan 02,16,80,1.8,94.0,0.9,1,H
