Station,Date(NZST),Time(NZST),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
25726,2014 Jan 01,00,304,4.1,10.0,0.6,1,H
25726,2014 Jan 01,01,308,4.7,8.0,0.6,1,H
25726,2014 Jan 01,02,311,3.5,17.0,0.7,1,H
25726,2014 Jan 01,03,7,2.6,43.0,0.7,1,H
25726,2014 Jan 01,04,52,2.5,12.0,0.4,1,H
25726,2014 Jan 01,05,59,2.6,11.0,0.4,1,H
25726,2014 Jan 01,06,67,2.6,14.0,0.5,1,H
25726,2014 Jan 01,07,79,2.9,15.0,0.6,1,H
25726,2014 Jan 01,08,85,3.0,15.0,0.6,1,H
25726,2014 Jan 01,09,107,2.5,20.0,0.6,1,H
25726,2014 Jan 01,10,67,2.6,44.0,1.1,1,H
25726,2014 Jan 01,11,308,4.5,33.0,1.7,1,H
25726,2014 Jan 01,12,292,4.8,33.0,1.5,1,H
25726,2014 Jan 01,13,278,6.5,25.0,2.1,1,H
25726,2014 Jan 01,14,277,6.9,20.0,2.1,1,H
25726,2014 Jan 01,15,281,5.2,24.0,1.8,1,H
25726,2014 Jan 01,16,298,5.3,28.0,1.8,1,H
25726,2014 Jan 01,17,289,6.6,19.0,1.9,1,H
25726,2014 Jan 01,18,288,8.3,14.0,2.5,1,H
25726,2014 Jan 01,19,281,11.1,12.0,1.7,1,H
25726,2014 Jan 01,20,275,7.8,10.0,1.6,1,H
25726,2014 Jan 01,21,273,6.3,9.0,1.1,1,H
25726,2014 Jan 01,22,275,4.8,10.0,0.7,1,H
25726,2014 Jan 01,23,281,3.9,8.0,0.7,1,H
25726,2014 Jan 02,00,281,4.0,7.0,0.6,1,H
25726,2014 Jan 02,01,287,4.1,7.0,0.6,1,H
25726,2014 Jan 02,02,279,3.8,7.0,0.5,1,H
25726,2014 Jan 02,03,276,3.1,7.0,0.4,1,H
25726,2014 Jan 02,04,286,3.8,6.0,0.5,1,H
25726,2014 Jan 02,05,289,3.8,8.0,0.6,1,H
25726,2014 Jan 02,06,294,3.4,14.0,0.6,1,H
25726,2014 Jan 02,07,304,3.9,12.0,0.6,1,H
25726,2014 Jan 02,08,288,4.9,9.0,0.7,1,H
25726,2014 Jan 02,09,282,6.6,15.0,1.1,1,H
25726,2014 Jan 02,10,282,6.7,13.0,1.4,1,H
25726,2014 Jan 02,11,275,7.1,14.0,1.2,1,H
25726,2014 Jan 02,12,286,6.6,10.0,1.2,1,H
25726,2014 Jan 02,13,288,6.8,14.0,1.3,1,H
25726,2014 Jan 02,14,275,6.2,16.0,1.4,1,H
25726,2014 Jan 02,15,284,6.1,13.0,1.1,1,H
25726,2014 Jan 02,16,278,5.5,14.0,1.3,1,H
25726,2014 Jan 02,17,280,5.7,14.0,1.1,1,H
25726,2014 Jan 02,18,279,5.0,17.0,1.3,1,H
25726,2014 Jan 02,19,282,5.1,13.0,1.1,1,H
25726,2014 Jan 02,20,292,3.3,15.0,0.8,1,H
25726,2014 Jan 02,21,319,2.2,40.0,0.8,1,H
25726,2014 Jan 02,22,328,2.8,26.0,0.9,1,H
25726,2014 Jan 02,23,358,2.5,25.0,0.7,1,H
25726,2014 Jan 03,00,13,2.7,24.0,0.8,1,H
25726,2014 Jan 03,01,359,2.4,28.0,0.9,1,H
25726,2014 Jan 03,02,340,3.1,33.0,1.3,1,H
25726,2014 Jan 03,03,15,3.0,43.0,1.3,1,H
25726,2014 Jan 03,04,45,2.3,26.0,0.8,1,H
25726,2014 Jan 03,05,64,2.6,19.0,0.7,1,H
25726,2014 Jan 03,06,71,2.8,21.0,0.8,1,H
25726,2014 Jan 03,07,34,3.2,48.0,1.9,1,H
25726,2014 Jan 03,08,321,6.2,31.0,2.2,1,H
25726,2014 Jan 03,09,302,8.1,24.0,2.9,1,H
25726,2014 Jan 03,10,290,9.9,19.0,2.9,1,H
25726,2014 Jan 03,11,294,11.3,18.0,2.8,1,H
25726,2014 Jan 03,12,291,11.9,16.0,2.9,1,H
25726,2014 Jan 03,13,292,14.0,16.0,3.2,1,H
25726,2014 Jan 03,14,289,13.3,15.0,3.1,1,H
25726,2014 Jan 03,15,290,14.5,12.0,2.9,1,H
25726,2014 Jan 03,16,287,15.0,13.0,2.9,1,H
25726,2014 Jan 03,17,288,14.7,13.0,2.7,1,H
25726,2014 Jan 03,18,289,15.1,12.0,2.7,1,H
25726,2014 Jan 03,19,287,13.2,13.0,3.4,1,H
25726,2014 Jan 03,20,282,12.8,11.0,2.6,1,H
25726,2014 Jan 03,21,280,11.4,10.0,1.8,1,H
25726,2014 Jan 03,22,281,8.8,8.0,1.5,1,H
25726,2014 Jan 03,23,282,7.9,9.0,1.4,1,H
25726,2014 Jan 04,00,270,6.6,12.0,1.7,1,H
25726,2014 Jan 04,01,276,5.3,14.0,1.1,1,H
25726,2014 Jan 04,02,285,5.6,8.0,0.8,1,H
25726,2014 Jan 04,03,275,5.3,12.0,1.0,1,H
25726,2014 Jan 04,04,268,4.8,13.0,0.9,1,H
25726,2014 Jan 04,05,272,3.1,8.0,0.7,1,H
25726,2014 Jan 04,06,293,2.3,15.0,0.3,1,H
25726,2014 Jan 04,07,298,1.9,11.0,0.5,1,H
25726,2014 Jan 04,08,278,2.8,10.0,0.7,1,H
25726,2014 Jan 04,09,295,2.7,30.0,0.9,1,H
25726,2014 Jan 04,10,358,2.0,37.0,0.7,1,H
25726,2014 Jan 04,11,292,3.2,32.0,1.4,1,H
25726,2014 Jan 04,12,288,4.2,25.0,1.4,1,H
25726,2014 Jan 04,13,278,5.8,17.0,1.7,1,H
25726,2014 Jan 04,14,280,6.4,15.0,1.6,1,H
25726,2014 Jan 04,15,297,4.9,30.0,2.1,1,H
25726,2014 Jan 04,16,300,4.9,24.0,2.0,1,H
25726,2014 Jan 04,17,299,5.2,24.0,1.6,1,H
25726,2014 Jan 04,18,291,7.3,15.0,1.9,1,H
25726,2014 Jan 04,19,289,9.4,15.0,2.2,1,H
25726,2014 Jan 04,20,290,10.9,14.0,2.7,1,H
25726,2014 Jan 04,21,290,8.6,17.0,2.5,1,H
25726,2014 Jan 04,22,295,6.7,25.0,2.0,1,H
25726,2014 Jan 04,23,291,10.4,17.0,2.9,1,H
25726,2014 Jan 05,00,294,9.9,17.0,3.3,1,H
25726,2014 Jan 05,01,291,10.0,15.0,2.2,1,H
25726,2014 Jan 05,02,292,10.7,14.0,2.2,1,H
25726,2014 Jan 05,03,290,10.9,13.0,2.1,1,H
25726,2014 Jan 05,04,293,11.5,13.0,2.3,1,H
25726,2014 Jan 05,05,294,9.1,18.0,2.6,1,H
25726,2014 Jan 05,06,294,7.2,23.0,2.5,1,H
25726,2014 Jan 05,07,291,8.7,22.0,2.5,1,H
25726,2014 Jan 05,08,298,9.1,26.0,2.7,1,H
25726,2014 Jan 05,09,295,10.2,21.0,2.7,1,H
25726,2014 Jan 05,10,292,10.7,23.0,3.5,1,H
25726,2014 Jan 05,11,290,14.6,15.0,3.5,1,H
25726,2014 Jan 05,12,291,15.8,13.0,3.2,1,H
25726,2014 Jan 05,13,273,15.1,17.0,2.6,1,H
25726,2014 Jan 05,14,260,14.1,9.0,2.1,1,H
25726,2014 Jan 05,15,263,14.4,11.0,2.4,1,H
25726,2014 Jan 05,16,259,13.9,10.0,2.2,1,H
25726,2014 Jan 05,17,259,13.2,10.0,2.1,1,H
25726,2014 Jan 05,18,259,12.1,10.0,1.9,1,H
25726,2014 Jan 05,19,259,10.4,10.0,1.8,1,H
25726,2014 Jan 05,20,260,9.8,10.0,1.6,1,H
25726,2014 Jan 05,21,260,9.3,11.0,1.6,1,H
25726,2014 Jan 05,22,260,8.4,10.0,1.7,1,H
25726,2014 Jan 05,23,260,8.2,10.0,1.3,1,H
25726,2014 Jan 06,00,258,8.5,11.0,1.6,1,H
25726,2014 Jan 06,01,257,8.5,11.0,1.4,1,H
25726,2014 Jan 06,02,259,8.7,11.0,1.5,1,H
25726,2014 Jan 06,03,260,8.2,9.0,1.4,1,H
25726,2014 Jan 06,04,263,8.3,9.0,1.3,1,H
25726,2014 Jan 06,05,262,7.9,9.0,1.3,1,H
25726,2014 Jan 06,06,263,8.0,9.0,1.5,1,H
25726,2014 Jan 06,07,259,8.5,10.0,1.5,1,H
25726,2014 Jan 06,08,258,8.3,11.0,1.4,1,H
25726,2014 Jan 06,09,258,9.1,10.0,1.7,1,H
25726,2014 Jan 06,10,259,9.3,10.0,1.5,1,H
25726,2014 Jan 06,11,259,8.9,11.0,1.6,1,H
25726,2014 Jan 06,12,260,8.8,9.0,1.3,1,H
25726,2014 Jan 06,13,255,8.1,11.0,1.5,1,H
25726,2014 Jan 06,14,254,8.6,11.0,1.6,1,H
25726,2014 Jan 06,15,255,8.3,12.0,1.6,1,H
25726,2014 Jan 06,16,253,6.9,12.0,1.4,1,H
25726,2014 Jan 06,17,257,6.6,10.0,1.4,1,H
25726,2014 Jan 06,18,260,8.4,10.0,1.3,1,H
25726,2014 Jan 06,19,260,7.4,10.0,1.1,1,H
25726,2014 Jan 06,20,267,6.1,9.0,0.8,1,H
25726,2014 Jan 06,21,275,5.1,6.0,0.6,1,H
25726,2014 Jan 06,22,273,4.1,5.0,0.3,1,H
25726,2014 Jan 06,23,276,4.4,5.0,0.4,1,H
25726,2014 Jan 07,00,276,4.0,4.0,0.4,1,H
25726,2014 Jan 07,01,274,3.9,7.0,0.3,1,H
25726,2014 Jan 07,02,275,2.7,7.0,0.6,1,H
25726,2014 Jan 07,03,274,1.9,11.0,0.3,1,H
25726,2014 Jan 07,04,45,1.2,76.0,0.5,1,H
25726,2014 Jan 07,05,58,2.4,10.0,0.3,1,H
25726,2014 Jan 07,06,73,2.2,14.0,0.3,1,H
25726,2014 Jan 07,07,78,2.4,14.0,0.6,1,H
25726,2014 Jan 07,08,80,2.9,15.0,0.7,1,H
