Station,Date(NZST),Time(NZST),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
18234,2014 Jan 01,00,8,7.2,15.6,1.9,1,H
18234,2014 Jan 01,01,2,7.7,14.7,2.0,1,H
18234,2014 Jan 01,02,360,7.7,15.7,2.1,1,H
18234,2014 Jan 01,03,360,8.5,13.9,2.3,1,H
18234,2014 Jan 01,04,350,9.7,10.8,1.9,1,H
18234,2014 Jan 01,05,347,9.3,8.8,1.9,1,H
18234,2014 Jan 01,06,355,7.7,14.8,2.0,1,H
18234,2014 Jan 01,07,357,8.8,13.9,2.2,1,H
18234,2014 Jan 01,08,355,9.2,14.6,2.4,1,H
18234,2014 Jan 01,09,356,10.4,14.8,2.8,1,H
18234,2014 Jan 01,10,357,13.8,12.9,2.5,1,H
18234,2014 Jan 01,11,357,13.9,11.5,2.5,1,H
18234,2014 Jan 01,12,356,12.9,11.4,2.7,1,H
18234,2014 Jan 01,13,353,10.9,13.6,2.5,1,H
18234,2014 Jan 01,14,1,8.9,16.4,2.2,1,H
18234,2014 Jan 01,15,4,9.0,13.8,2.3,1,H
18234,2014 Jan 01,16,8,9.3,12.5,2.2,1,H
18234,2014 Jan 01,17,4,10.0,13.8,2.4,1,H
18234,2014 Jan 01,18,357,11.4,11.9,2.3,1,H
18234,2014 Jan 01,19,353,12.0,12.5,2.3,1,H
18234,2014 Jan 01,20,356,11.3,12.6,2.1,1,H
18234,2014 Jan 01,21,358,10.5,13.9,2.2,1,H
18234,2014 Jan 01,22,359,9.5,14.3,2.3,1,H
18234,2014 Jan 01,23,348,10.5,9.1,1.6,1,H
18234,2014 Jan 02,00,350,11.5,9.4,1.7,1,H
18234,2014 Jan 02,01,357,10.7,11.6,2.1,1,H
18234,2014 Jan 02,02,357,11.4,12.3,2.2,1,H
18234,2014 Jan 02,03,359,9.5,12.9,2.1,1,H
18234,2014 Jan 02,04,358,10.8,12.6,2.5,1,H
18234,2014 Jan 02,05,356,12.1,10.9,2.0,1,H
18234,2014 Jan 02,06,348,14.4,8.2,1.8,1,H
18234,2014 Jan 02,07,349,14.9,8.8,1.9,1,H
18234,2014 Jan 02,08,347,14.7,8.6,2.0,1,H
18234,2014 Jan 02,09,349,14.1,7.9,1.8,1,H
18234,2014 Jan 02,10,348,14.2,9.6,2.1,1,H
18234,2014 Jan 02,11,351,15.2,9.2,2.2,1,H
18234,2014 Jan 02,12,348,15.2,9.4,2.3,1,H
18234,2014 Jan 02,13,346,15.6,9.0,2.3,1,H
18234,2014 Jan 02,14,349,15.5,9.5,2.4,1,H
18234,2014 Jan 02,15,348,15.6,8.9,2.2,1,H
18234,2014 Jan 02,16,348,16.2,9.3,2.4,1,H
18234,2014 Jan 02,17,348,15.4,9.1,2.4,1,H
18234,2014 Jan 02,18,353,14.2,11.3,2.3,1,H
18234,2014 Jan 02,19,352,14.8,10.8,2.4,1,H
18234,2014 Jan 02,20,347,15.0,8.6,2.1,1,H
18234,2014 Jan 02,21,346,15.2,8.5,2.6,1,H
18234,2014 Jan 02,22,347,18.6,8.3,2.3,1,H
18234,2014 Jan 02,23,346,17.5,8.6,2.5,1,H
18234,2014 Jan 03,00,345,18.4,8.5,3.0,1,H
18234,2014 Jan 03,01,348,17.6,10.4,3.0,1,H
18234,2014 Jan 03,02,347,18.7,9.7,3.2,1,H
18234,2014 Jan 03,03,349,18.2,10.5,3.3,1,H
18234,2014 Jan 03,04,351,20.6,10.0,3.1,1,H
18234,2014 Jan 03,05,352,20.2,9.9,2.9,1,H
18234,2014 Jan 03,06,355,19.8,10.7,3.1,1,H
18234,2014 Jan 03,07,351,20.5,10.4,3.4,1,H
18234,2014 Jan 03,08,357,21.9,11.4,3.8,1,H
18234,2014 Jan 03,09,358,17.2,14.4,4.1,1,H
18234,2014 Jan 03,10,356,19.6,13.0,4.2,1,H
18234,2014 Jan 03,11,356,19.3,12.8,3.8,1,H
18234,2014 Jan 03,12,349,16.7,10.8,2.9,1,H
