"City","year","count","rank"
"Auckland",1891,61352,1
"Wellington",1891,39692,4
"Christchurch",1891,45113,3
"Hamilton",1891,2289,17
"Napier-Hastings",1891,9673,6
"Tauranga",1891,2183,19
"Dunedin",1891,52748,2
"Palmerston North",1891,5190,10
"Nelson",1891,7635,7
"Rotorua",1891,NA,24
"New Plymouth",1891,3980,14
"Whangarei",1891,NA,25
"Invercargill",1891,9888,5
"Kapiti",1891,NA,26
"Wanganui",1891,5610,9
"Gisborne",1891,2548,16
"Blenheim",1891,4124,12
"Timaru",1891,4102,13
"Pukekohe",1891,NA,27
"Taupo",1891,NA,28
"Masterton",1891,3681,15
"Levin",1891,NA,29
"Ashburton",1891,2051,20
"Whakatane",1891,NA,30
"Feilding",1891,1692,21
"Oamaru",1891,6294,8
"Tokoroa",1891,NA,31
"Hawera",1891,1587,22
"Greymouth",1891,4589,11
"Queenstown",1891,1181,23
"Rangiora",1891,2191,18
"Auckland",1896,68914,1
"Wellington",1896,49668,4
"Christchurch",1896,60163,2
"Hamilton",1896,3217,17
"Napier-Hastings",1896,11641,5
"Tauranga",1896,2106,22
"Dunedin",1896,54118,3
"Palmerston North",1896,7128,8
"Nelson",1896,8321,7
"Rotorua",1896,710,25
"New Plymouth",1896,4545,11
"Whangarei",1896,1596,23
"Invercargill",1896,11559,6
"Kapiti",1896,NA,27
"Wanganui",1896,6645,9
"Gisborne",1896,2755,18
"Blenheim",1896,3779,16
"Timaru",1896,4041,15
"Pukekohe",1896,NA,28
"Taupo",1896,NA,29
"Masterton",1896,4130,13
"Levin",1896,NA,30
"Ashburton",1896,4139,12
"Whakatane",1896,147,26
"Feilding",1896,2186,21
"Oamaru",1896,5851,10
"Tokoroa",1896,NA,31
"Hawera",1896,2677,19
"Greymouth",1896,4087,14
"Queenstown",1896,1184,24
"Rangiora",1896,2296,20
"Auckland",1901,79564,1
"Wellington",1901,59376,4
"Christchurch",1901,66477,2
"Hamilton",1901,3402,17
"Napier-Hastings",1901,11060,6
"Tauranga",1901,1955,23
"Dunedin",1901,59770,3
"Palmerston North",1901,7881,9
"Nelson",1901,8703,7
"Rotorua",1901,1301,24
"New Plymouth",1901,5234,12
"Whangarei",1901,2640,20
"Invercargill",1901,12300,5
"Kapiti",1901,NA,27
"Wanganui",1901,8204,8
"Gisborne",1901,3231,18
"Blenheim",1901,4034,16
"Timaru",1901,7185,10
"Pukekohe",1901,NA,28
"Taupo",1901,NA,29
"Masterton",1901,4669,14
"Levin",1901,NA,30
"Ashburton",1901,4319,15
"Whakatane",1901,296,26
"Feilding",1901,2457,21
"Oamaru",1901,5415,11
"Tokoroa",1901,NA,31
"Hawera",1901,3091,19
"Greymouth",1901,5054,13
"Queenstown",1901,1046,25
"Rangiora",1901,2172,22
"Auckland",1906,96930,1
"Wellington",1906,79388,2
"Christchurch",1906,77904,3
"Hamilton",1906,4895,16
"Napier-Hastings",1906,11898,7
"Tauranga",1906,2166,23
"Dunedin",1906,63764,4
"Palmerston North",1906,12349,6
"Nelson",1906,10158,8
"Rotorua",1906,2743,22
"New Plymouth",1906,6108,13
"Whangarei",1906,3692,19
"Invercargill",1906,14462,5
"Kapiti",1906,NA,29
"Wanganui",1906,9152,9
"Gisborne",1906,6687,11
"Blenheim",1906,4196,18
"Timaru",1906,8517,10
"Pukekohe",1906,479,27
"Taupo",1906,NA,30
"Masterton",1906,5942,14
"Levin",1906,1561,25
"Ashburton",1906,4707,17
"Whakatane",1906,134,28
"Feilding",1906,2984,21
"Oamaru",1906,5679,15
"Tokoroa",1906,NA,31
"Hawera",1906,3135,20
"Greymouth",1906,6610,12
"Queenstown",1906,1008,26
"Rangiora",1906,2117,24
"Auckland",1911,123822,1
"Wellington",1911,88319,2
"Christchurch",1911,85205,3
"Hamilton",1911,8747,12
"Napier-Hastings",1911,13257,7
"Tauranga",1911,2785,23
"Dunedin",1911,69223,4
"Palmerston North",1911,13256,8
"Nelson",1911,10087,10
"Rotorua",1911,3402,21
"New Plymouth",1911,7787,13
"Whangarei",1911,4466,19
"Invercargill",1911,16385,6
"Kapiti",1911,NA,29
"Wanganui",1911,16616,5
"Gisborne",1911,9676,11
"Blenheim",1911,4722,18
"Timaru",1911,12616,9
"Pukekohe",1911,773,27
"Taupo",1911,NA,30
"Masterton",1911,6126,15
"Levin",1911,1984,25
"Ashburton",1911,4966,17
"Whakatane",1911,624,28
"Feilding",1911,3379,22
"Oamaru",1911,5769,16
"Tokoroa",1911,NA,31
"Hawera",1911,3864,20
"Greymouth",1911,6627,14
"Queenstown",1911,1055,26
"Rangiora",1911,2253,24
"Auckland",1916,149064,1
"Wellington",1916,101964,2
"Christchurch",1916,97072,3
"Hamilton",1916,12856,11
"Napier-Hastings",1916,15605,7
"Tauranga",1916,3486,23
"Dunedin",1916,71774,4
"Palmerston North",1916,15542,8
"Nelson",1916,11602,12
"Rotorua",1916,4050,21
"New Plymouth",1916,10165,13
"Whangarei",1916,5751,18
"Invercargill",1916,18375,6
