City,1891,1896,1901,1906,1911,1916,1921,1926,1936,1945,1951,1956,1961,1966,1971,1976,1981,1986,1991,1996,2001,2006,2013,2018
Auckland,61352,68914,79564,96930,123822,149064,175870,214293,236354,298112,343048,399265,469545,568170,649758,742786,769558,820931,884680,997956,1087065,1224417,1329606,1329606
Wellington,39692,49668,59376,79388,88319,101964,115083,130114,160536,189777,210060,226239,251956,285142,307640,327414,321004,325713,325676,335388,343017,367101,383187,383187
Christchurch,45113,60163,66477,77904,85205,97072,110615,124046,139013,156910,181593,201644,229671,257505,275968,295296,289959,300053,307179,331446,342258,373116,359247,359247
Hamilton,2289,3217,3402,4895,8747,12856,18750,21771,33020,42978,52122,64386,78044,95676,110350,128655,133363,140097,148625,159312,167424,188151,205560,205560
Napier-Hastings,9673,11641,11060,11898,13257,15605,17725,35970,40198,44473,52379,59832,70804,81797,92224,104504,107520,110798,110216,113790,116280,121770,126444,126444
Tauranga,2183,2106,1955,2166,2785,3486,4637,4899,6844,9628,14376,20245,26587,33822,40349,48153,53097,63103,70697,82653,96441,110433,121656,121656
Dunedin,52748,54118,59770,63764,69223,71774,75471,88882,85630,87625,95510,99428,105092,108849,111128,113222,107445,107463,109412,112164,110751,115665,116361,116361
Palmerston North,5190,7128,7881,12349,13256,15542,18737,21871,26166,29689,34906,40547,46004,52393,57065,63873,66691,67406,70951,73911,73923,77340,79377,79377
Nelson,7635,8321,8703,10158,10087,11602,12383,13687,15618,19212,23947,26633,30692,34459,37994,42433,43121,44593,47388,52329,55575,59022,62640,62640
Rotorua,,710,1301,2743,3402,4050,5512,5892,9169,10756,15046,19371,25564,33613,39773,46675,48314,51991,53702,56934,56298,57984,56481,56481
New Plymouth,3980,4545,5234,6108,7787,10165,13123,16533,18891,21417,25813,28699,32822,35680,38780,43914,44095,47478,48519,49086,47955,50331,53505,53505
Whangarei,,1596,2640,3692,4466,5751,6813,10048,11383,13842,17054,20009,23457,31001,34029,39069,40212,44166,44150,45768,46068,49497,49278,49278
Invercargill,9888,11559,12300,14462,16385,18375,19762,22477,26413,28356,32335,35843,41900,46939,50681,53762,53868,52563,51984,49311,46530,47397,48435,48435
Kapiti,,,,,,,,1401,2113,2747,4292,6014,8142,11049,13738,18911,20083,23203,27380,30003,33480,37350,39504,39504
Wanganui,5610,6645,8204,9152,16616,19810,23876,26521,25750,26262,29717,32100,35694,38174,37982,39679,39595,40758,41213,41316,39777,39603,38235,38235
Gisborne,2548,2755,3231,6687,9676,13026,14867,15216,16005,17115,19914,22812,25282,28116,30161,31790,32062,32226,31484,32646,31899,32775,33389,33389
Blenheim,4124,3779,4034,4196,4722,4786,5440,8167,8319,9215,11655,13696,15586,17219,19178,21481,22104,22681,23637,25776,27255,29529,30489,30489
Timaru,4102,4041,7185,8517,12616,13828,15633,16959,18771,19672,22851,24694,26424,27946,28959,29958,29225,28621,27568,27351,26859,27219,27393,27393
Pukekohe,,,,479,773,2362,2928,4682,5124,6289,6914,8446,9827,10677,11727,12889,13292,13927,15009,16599,18687,22479,26409,26409
Taupo,,,,,,,,679,873,1109,1749,3412,7143,10192,12030,14674,15356,17602,18369,21321,22851,23886,23892,23892
Masterton,3681,4130,4669,5942,6126,6968,9245,9608,10570,10884,12890,14641,16944,19116,20147,21001,20422,19930,20007,19959,19812,20136,20499,20499
Levin,,,,1561,1984,2011,2442,4088,4331,5100,7118,9387,11739,14793,16430,18213,18070,18962,18963,19044,18819,18957,19155,19155
Ashburton,2051,4139,4319,4707,4966,5897,5931,8075,8606,8918,10233,11387,12718,13715,14386,15357,15303,15229,15172,15510,15468,16791,18606,18606
Whakatane,,147,296,134,624,1114,2112,2308,2789,4145,5437,7749,9346,9883,12062,14282,15159,15959,16805,17709,18024,18576,18171,18171
Feilding,1692,2186,2457,2984,3379,3675,4821,4658,5077,5704,6577,7641,9120,10027,10581,11645,12203,12802,13370,13719,13398,13791,14592,14592
Oamaru,6294,5851,5415,5679,5769,5756,6415,9009,9956,9728,11111,12038,13738,14450,14510,15095,14664,14249,13827,13692,12951,13161,13596,13596
Tokoroa,,,,,,,,280,460,810,1868,6432,8625,12665,16527,19481,19333,18193,16636,15228,14265,13413,12606,12606
Hawera,1587,2677,3091,3135,3864,4627,5583,7615,8169,8180,9103,9900,10517,10664,10708,11351,11344,11375,11152,11322,10671,10650,11103,11103
Greymouth,4589,4087,5054,6610,6627,7603,8842,7969,10864,11427,12166,12377,12309,12209,11138,11811,11604,11261,10588,10728,10260,10455,10152,10152
Queenstown,1181,1184,1046,1008,1055,996,1139,1219,1412,1295,1521,1817,2003,2739,3949,5673,5985,6510,8174,11496,14403,17022,18828,18828
Rangiora,2191,2296,2172,2117,2253,2221,2461,2563,2751,2929,3439,3870,4349,5058,5964,7361,7845,8200,8608,9798,10749,11970,14934,14934
