Year,Book pop,LTDS estimate,Infoshare annual est as at (Annual-Jun),Infoshare annual est Mean year ended (Annual-Jun),European Census,Māori Census,Combined Census,Form,Notes
1840,82050,82050,,,,,,Blue book,
1841,83434,83434,,,,,,Blue book,
1842,87891,87891,,,,,,Blue book,
1843,87242,87242,,,,,,Blue book,
1844,86365,86365,,,,,,Blue book,
1845,85245,85245,,,,,,Blue book,
1846,84327,84327,,,,,,Blue book,
1847,84139,84139,,,,,,Blue book,
1848,85465,85465,,,,,,Blue book,
1849,86505,86505,,,,,,Blue book,
1850,87759,87759,,,,,,Blue book,
1851,91073,91073,,,Y,N,N,"Blue book, Government Gazette",First national population Census
1852,90740,90740,,,,,,Blue book,
1853,91472,91472,,,,,,Blue book,
1854,93215,93215,,,,,,Blue book,
1855,96665,96665,,,,,,Blue book,
1856,103849,103849,,,,,,,
1857,106970,106970,,,,,,,
1858,115462,115462,,,Y,Y,N,,
1859,127053,127053,,,,,,,
1860,134588,134588,,,,,,,
1861,153321,153321,,,Y,N,N,,
1862,179541,179541,,,,,,,
1863,217213,217213,,,,,,,
1864,224764,224764,,,Y,N,N,,
1865,242660,242660,,,,,,,
1866,255620,255620,,,,,,,
1867,269633,269633,,,Y,E,N,,
1868,277047,277047,,,,,,,
1869,287148,287148,,,,,,,
1870,297774,297774,,,,,,,
1871,315841,315841,,,Y,E,N,,
1872,327902,327902,,,,,,,
1873,343780,343780,,,,,,,
1874,389191,389191,,,Y,Y,N,,
1875,421326,421326,,,,,,,
1876,444545,444545,,,,,,,
1877,454088,454088,,,,,,,
1878,476114,476114,,,Y,Y,N,,
1879,507324,507324,,,,,,,
1880,528459,528459,,,,,,,
1881,545007,545007,,,Y,Y,N,,
1882,561804,561804,,,,,,,
1883,584974,584974,,,,,,,
1884,608401,608401,,,,,,,
1885,619323,619323,,,,,,,
1886,631355,631355,,,Y,Y,N,,
1887,645330,645330,,,,,,,
1888,649349,649349,,,,,,,
1889,658021,658021,,,,,,,
1890,667477,667477,,,,,,,
1891,676051,676051,,,Y,Y,N,,
1892,692426,692426,,,,,,,
1893,714258,714258,,,,,,,
1894,728121,728121,,,,,,,
1895,740699,740699,,,,,,,
1896,754016,754016,,,Y,Y,N,,
1897,768910,768910,,,,,,,
1898,783317,783317,,,,,,,
1899,796359,796359,,,,,,,
1900,808132,808132,,,,,,,
1901,830800,830800,,,Y,Y,N,,
1902,851072,851072,,,,,,,
1903,875648,875648,,,,,,,
1904,900682,900682,,,,,,,
1905,925605,925605,,,,,,,
1906,956457,956457,,,Y,Y,N,,
1907,977215,977215,,,,,,,
1908,1008373,1008373,,,,,,,
1909,1030657,1030657,,,,,,,
1910,1050410,1050410,,,,,,,
1911,1075250,1075250,,,Y,Y,N,,
1912,1102471,1102471,,,,,,,
1913,1134506,1134506,,,,,,,
1914,1145838,1145838,,,,,,,
1915,1152638,1152638,,,,,,,
1916,1150339,1150339,,,Y,Y,N,,From 1916–1951 SI Māori counted in NI European Census
1917,1147448,1147448,,,,,,,
1918,1158149,1158149,,,,,,,
1919,1227181,1227181,,,,,,,
1920,1257611,1257611,,,,,,,
1921,1292717,1292717,,,Y,Y,N,,
1922,1318884,1318884,,,,,,,
1923,1343021,1343021,,,,,,,
1924,1370403,1370403,,,,,,,
1925,1401230,1401230,,,,,,,
1926,1429555,1429555,,,Y,Y,N,,
1927,1450090,1450090,,,,,,,
1928,1466952,1466952,,,,,,,
1929,1485564,1485564,,,,,,,
1930,1506809,1506809,,,,,,,
1931,1522762,1522762,,,C,C,N,,
1932,1534735,1534735,,,,,,,
1933,1547124,1547124,,,,,,,
1934,1558373,1558373,,,,,,,
1935,1569689,1569689,,,,,,,
1936,1584617,1584617,,,Y,Y,N,,
1937,1601758,1601758,,,,,,,
1938,1618313,1618313,,,,,,,
1939,1641639,1641639,,,,,,,
1940,1633645,1633645,,,,,,,
1941,1631276,1631276,,,C,C,N,,
1942,1636403,1636403,,,,,,,
1943,1642041,1642041,,,,,,,
1944,1676293,1676293,,,,,,,
1945,1728441,1728441,,,Y,Y,N,,
1946,1784334,1784334,,,C,C,N,,
1947,1823074,1823074,,,,,,,
1948,1861923,1861923,,,,,,,
1949,1892042,1892042,,,,,,,
1950,1927629,1927629,,,,,,,
1951,1970522,1970522,,,N,N,Y,,"From 1951,European and Māori censuses integrated into a general New Zealand census"
1952,2024556,2024556,,,,,,,
1953,2074781,2074781,,,,,,,
1954,2118434,2118434,,,,,,,
1955,2164734,2164734,,,,,,,
1956,2209132,2209132,,,N,N,Y,,
1957,2262814,2262814,,,,,,,
1958,2315900,2315900,,,,,,,
1959,2359746,2359746,,,,,,,
1960,2403567,2403567,,,,,,,
1961,2461243,2461243,,,N,N,Y,,
1962,2515835,2515835,,,,,,,
1963,2566915,2566915,,,,,,,
1964,2616970,2616970,,,,,,,
1965,2663843,2663843,,,,,,,
1966,2711318,2711318,,,N,N,Y,,
1967,2744963,2744963,,,,,,,
1968,2772933,2772933,,,,,,,
1969,2804059,2804059,,,,,,,
1970,2852137,2852137,,,,,,,
1971,2898500,2898500,,,N,N,Y,,
1972,2959700,2959700,,,,,,,
1973,3024900,3024900,,,,,,,
1974,3091900,3091900,,,,,,,
1975,3143700,3143700,,,,,,,
1976,3163400,3163400,,,N,N,Y,,
1977,3166400,3166400,,,,,,,
1978,3165200,3165200,,,,,,,
1979,3163900,3163900,,,,,,,
1980,3176400,3176400,,,,,,,
1981,3194500,3194500,,,N,N,Y,,
1982,3226800,3226800,,,,,,,
1983,3264800,3264800,,,,,,,
1984,3293000,3293000,,,,,,,
1985,3303100,3303100,,,,,,,
1986,3313500,3313500,,,N,N,Y,,
1987,3342100,3342100,,,,,,,
1988,3345200,3345200,,,,,,,
1989,3369800,3369800,,,,,,,
1990,3410400,3410400,,,,,,,
1991,3495100,3498100,3495100,,N,N,Y,,
1992,3531700,3534400,3531700,3515100,,,,,
1993,3572200,3579900,3572200,3552100,,,,,
1994,3620000,3630400,3620000,3597100,,,,,
1995,3673400,3688700,3673400,3647600,,,,,
1996,3732000,3743400,3732000,3705400,N,N,Y,,
1997,3781300,3781500,3781300,3759900,,,,,
1998,3815000,3804000,3815000,3800800,,,,,
1999,3835100,3824148,3835100,3827000,,,,,
2000,3857700,3843007,3857700,3848600,,,,,
2001,3880500,3880954,3880500,3870800,N,N,Y,,
2002,3948500,3945434,3948500,3915400,,,,,
2003,4027200,,4027200,3989600,,,,,
2004,4087500,,4087500,4060600,,,,,
2005,4133900,,4133900,4113100,,,,,
2006,4184600,,4184600,4160600,N,N,Y,,
2007,4223800,,4223800,4207000,,,,,
2008,4259800,,4259800,4244300,,,,,
2009,4302600,,4302600,4281100,,,,,
2010,4350700,,4350700,4330400,,,,,
2011,4384000,,4384000,4371600,N,N,C,,
2012,4408100,,4408100,4398500,,,,,
2013,4442100,,4442100,4425600,N,N,Y,,
2014,4509700,,4509700,4476300,,,,,
2015,4595700,,4595700,4554700,,,,,
2016,4693200,,4693200,4647100,,,,,
2017,4793900,,4793900,4746800,,,,,
2018,4885300,,4885300,4843400,N,N,Y,,First online
