"Year","label","Value"
1949,"00 Australia",2611
1949,"01 Cambodia",0
1949,"07 China",73
1949,"11 Fiji",221
1949,"06 India",320
1949,"01 Iraq",2
1949,"05 Philippines",3
1949,"09 Samoa",52
1949,"10 South Africa",140
1949,"04 South Korea",2
1949,"02 Sri Lanka",15
1949,"03 Taiwan",0
1949,"16 Netherlands",5
1949,"00 Tonga",43
1949,"08 UK",13571
1949,"00 USA",2
1949,NA,1541
1950,"00 Australia",1
1950,"01 Cambodia",0
1950,"07 China",1
1950,"11 Fiji",0
1950,"06 India",21
1950,"01 Iraq",0
1950,"05 Philippines",0
1950,"09 Samoa",3
1950,"10 South Africa",0
1950,"04 South Korea",0
1950,"02 Sri Lanka",0
1950,"03 Taiwan",0
1950,"16 Netherlands",2
1950,"00 Tonga",3
1950,"08 UK",23
1950,"00 USA",3
1950,NA,172
1951,"00 Australia",11
1951,"01 Cambodia",0
1951,"07 China",3
1951,"11 Fiji",4
1951,"06 India",28
1951,"01 Iraq",0
1951,"05 Philippines",0
1951,"09 Samoa",3
1951,"10 South Africa",0
1951,"04 South Korea",0
1951,"02 Sri Lanka",0
1951,"03 Taiwan",0
1951,"16 Netherlands",13
1951,"00 Tonga",3
1951,"08 UK",100
1951,"00 USA",1
1951,NA,203
1952,"00 Australia",22
1952,"01 Cambodia",0
1952,"07 China",4
1952,"11 Fiji",3
1952,"06 India",17
1952,"01 Iraq",0
1952,"05 Philippines",0
1952,"09 Samoa",2
1952,"10 South Africa",6
1952,"04 South Korea",0
1952,"02 Sri Lanka",0
1952,"03 Taiwan",0
1952,"16 Netherlands",14
1952,"00 Tonga",1
1952,"08 UK",144
1952,"00 USA",6
1952,NA,169
1953,"00 Australia",6
1953,"01 Cambodia",0
1953,"07 China",11
1953,"11 Fiji",4
1953,"06 India",25
1953,"01 Iraq",0
1953,"05 Philippines",0
1953,"09 Samoa",5
1953,"10 South Africa",3
1953,"04 South Korea",0
1953,"02 Sri Lanka",0
1953,"03 Taiwan",0
1953,"16 Netherlands",21
1953,"00 Tonga",1
1953,"08 UK",114
1953,"00 USA",6
1953,NA,194
1954,"00 Australia",8
1954,"01 Cambodia",0
1954,"07 China",12
1954,"11 Fiji",7
1954,"06 India",50
1954,"01 Iraq",0
1954,"05 Philippines",0
1954,"09 Samoa",4
1954,"10 South Africa",1
1954,"04 South Korea",0
1954,"02 Sri Lanka",0
1954,"03 Taiwan",0
1954,"16 Netherlands",29
1954,"00 Tonga",10
1954,"08 UK",167
1954,"00 USA",7
1954,NA,336
1955,"00 Australia",6
1955,"01 Cambodia",0
1955,"07 China",23
1955,"11 Fiji",3
1955,"06 India",24
1955,"01 Iraq",0
1955,"05 Philippines",0
1955,"09 Samoa",8
1955,"10 South Africa",5
1955,"04 South Korea",0
1955,"02 Sri Lanka",0
1955,"03 Taiwan",0
1955,"16 Netherlands",75
1955,"00 Tonga",3
1955,"08 UK",233
1955,"00 USA",3
1955,NA,415
1956,"00 Australia",8
1956,"01 Cambodia",0
1956,"07 China",35
1956,"11 Fiji",14
1956,"06 India",79
1956,"01 Iraq",0
1956,"05 Philippines",0
1956,"09 Samoa",5
1956,"10 South Africa",11
1956,"04 South Korea",0
1956,"02 Sri Lanka",0
1956,"03 Taiwan",0
1956,"16 Netherlands",178
1956,"00 Tonga",6
1956,"08 UK",219
1956,"00 USA",2
1956,NA,572
1957,"00 Australia",15
1957,"01 Cambodia",0
1957,"07 China",68
1957,"11 Fiji",17
1957,"06 India",45
1957,"01 Iraq",0
1957,"05 Philippines",0
1957,"09 Samoa",9
1957,"10 South Africa",8
1957,"04 South Korea",0
1957,"02 Sri Lanka",0
1957,"03 Taiwan",0
1957,"16 Netherlands",440
1957,"00 Tonga",1
1957,"08 UK",411
1957,"00 USA",6
1957,NA,791
1958,"00 Australia",17
1958,"01 Cambodia",0
1958,"07 China",152
1958,"11 Fiji",24
1958,"06 India",63
1958,"01 Iraq",0
1958,"05 Philippines",0
1958,"09 Samoa",3
1958,"10 South Africa",12
1958,"04 South Korea",0
1958,"02 Sri Lanka",3
1958,"03 Taiwan",0
1958,"16 Netherlands",546
1958,"00 Tonga",3
1958,"08 UK",294
1958,"00 USA",6
1958,NA,797
1959,"00 Australia",7
1959,"01 Cambodia",0
1959,"07 China",168
1959,"11 Fiji",9
1959,"06 India",57
1959,"01 Iraq",0
1959,"05 Philippines",0
1959,"09 Samoa",15
1959,"10 South Africa",5
1959,"04 South Korea",0
1959,"02 Sri Lanka",1
1959,"03 Taiwan",0
1959,"16 Netherlands",745
1959,"00 Tonga",5
1959,"08 UK",272
1959,"00 USA",0
1959,NA,711
1960,"00 Australia",6
1960,"01 Cambodia",0
1960,"07 China",263
1960,"11 Fiji",11
1960,"06 India",92
1960,"01 Iraq",0
1960,"05 Philippines",0
1960,"09 Samoa",28
1960,"10 South Africa",20
1960,"04 South Korea",0
1960,"02 Sri Lanka",4
1960,"03 Taiwan",0
1960,"16 Netherlands",731
1960,"00 Tonga",8
1960,"08 UK",307
1960,"00 USA",5
1960,NA,846
1961,"00 Australia",10
1961,"01 Cambodia",0
1961,"07 China",125
1961,"11 Fiji",7
1961,"06 India",83
1961,"01 Iraq",0
1961,"05 Philippines",0
1961,"09 Samoa",42
1961,"10 South Africa",129
1961,"04 South Korea",0
1961,"02 Sri Lanka",4
1961,"03 Taiwan",0
1961,"16 Netherlands",472
1961,"00 Tonga",3
1961,"08 UK",363
1961,"00 USA",6
1961,NA,551
1962,"00 Australia",9
1962,"01 Cambodia",0
1962,"07 China",202
