"AREA","Area","LANGUAGE","Languages spoken","AGE","Age group","SEX","Sex","YEAR","Year",Value,Flags
"500100","Awanui","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",369,
"500100","Awanui","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",351,
"500100","Awanui","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",339,
"500100","Awanui","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",48,
"500100","Awanui","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",57,
"500100","Awanui","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",57,
"500202","Karikari Peninsula-Maungataniwha","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",4275,
"500202","Karikari Peninsula-Maungataniwha","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",4230,
"500202","Karikari Peninsula-Maungataniwha","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",4344,
"500202","Karikari Peninsula-Maungataniwha","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",429,
"500202","Karikari Peninsula-Maungataniwha","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",456,
"500202","Karikari Peninsula-Maungataniwha","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",429,
"500203","Taipa Bay-Mangonui","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",1587,
"500203","Taipa Bay-Mangonui","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",1566,
"500203","Taipa Bay-Mangonui","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",1662,
"500203","Taipa Bay-Mangonui","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",105,
"500203","Taipa Bay-Mangonui","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",114,
"500203","Taipa Bay-Mangonui","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",99,
"500204","Herekino","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",2055,
"500204","Herekino","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",1950,
"500204","Herekino","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",2013,
"500204","Herekino","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",309,
"500204","Herekino","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",261,
"500204","Herekino","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",291,
"500205","Ahipara","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",1041,
"500205","Ahipara","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",1125,
"500205","Ahipara","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",1065,
"500205","Ahipara","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",162,
"500205","Ahipara","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",141,
"500205","Ahipara","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",156,
"500206","North Cape","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",549,
"500206","North Cape","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",501,
"500206","North Cape","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",441,
"500206","North Cape","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",219,
"500206","North Cape","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",180,
"500206","North Cape","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",162,
"500207","Houhora","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",915,
"500207","Houhora","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",837,
"500207","Houhora","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",933,
"500207","Houhora","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",90,
"500207","Houhora","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",102,
"500207","Houhora","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",87,
"500208","Motutangi-Kareponia","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",1701,
"500208","Motutangi-Kareponia","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",1755,
"500208","Motutangi-Kareponia","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",1791,
"500208","Motutangi-Kareponia","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",168,
"500208","Motutangi-Kareponia","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",201,
"500208","Motutangi-Kareponia","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",222,
"500301","Kaitaia West","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",3189,
"500301","Kaitaia West","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",3252,
"500301","Kaitaia West","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",3093,
"500301","Kaitaia West","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",531,
"500301","Kaitaia West","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",546,
"500301","Kaitaia West","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",480,
"500302","Kaitaia East","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",1962,
"500302","Kaitaia East","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",1950,
"500302","Kaitaia East","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",1794,
"500302","Kaitaia East","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",237,
"500302","Kaitaia East","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",357,
"500302","Kaitaia East","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",255,
"500401","Kaeo","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",495,
"500401","Kaeo","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",495,
"500401","Kaeo","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",453,
"500401","Kaeo","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",105,
"500401","Kaeo","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",81,
"500401","Kaeo","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",78,
"500402","Mangapa-Matauri Bay","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",2763,
"500402","Mangapa-Matauri Bay","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",2649,
"500402","Mangapa-Matauri Bay","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",2517,
"500402","Mangapa-Matauri Bay","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",423,
"500402","Mangapa-Matauri Bay","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",333,
"500402","Mangapa-Matauri Bay","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",393,
"500500","Kohukohu","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",165,
"500500","Kohukohu","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",186,
"500500","Kohukohu","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",165,
"500500","Kohukohu","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",36,
"500500","Kohukohu","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",33,
"500500","Kohukohu","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",36,
"500600","Rawene","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",462,
"500600","Rawene","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",441,
"500600","Rawene","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",471,
"500600","Rawene","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",102,
"500600","Rawene","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",96,
"500600","Rawene","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",123,
"500700","Omapere and Opononi","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",597,
"500700","Omapere and Opononi","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",480,
"500700","Omapere and Opononi","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",414,
"500700","Omapere and Opononi","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",99,
"500700","Omapere and Opononi","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",99,
"500700","Omapere and Opononi","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",99,
"500801","Hokianga North","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",2013,
"500801","Hokianga North","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",1962,
"500801","Hokianga North","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",1686,
"500801","Hokianga North","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",621,
"500801","Hokianga North","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",600,
"500801","Hokianga North","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",432,
"500802","Hokianga South","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",2874,
"500802","Hokianga South","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",2610,
"500802","Hokianga South","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",2568,
"500802","Hokianga South","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",693,
"500802","Hokianga South","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",705,
"500802","Hokianga South","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",669,
"500900","Kerikeri","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",4878,
"500900","Kerikeri","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",5856,
"500900","Kerikeri","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",6504,
"500900","Kerikeri","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",141,
"500900","Kerikeri","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",207,
"500900","Kerikeri","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",270,
"501000","Russell","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",804,
"501000","Russell","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",816,
"501000","Russell","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",720,
"501000","Russell","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",33,
"501000","Russell","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",45,
"501000","Russell","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",45,
"501100","Paihia","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",1836,
"501100","Paihia","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",1770,
"501100","Paihia","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",1722,
"501100","Paihia","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",99,
"501100","Paihia","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",135,
"501100","Paihia","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",117,
"501200","Haruru Falls","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",678,
"501200","Haruru Falls","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",789,
"501200","Haruru Falls","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",867,
"501200","Haruru Falls","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",30,
"501200","Haruru Falls","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",57,
"501200","Haruru Falls","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",57,
"501300","Opua East","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",342,
"501300","Opua East","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",354,
"501300","Opua East","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",291,
"501300","Opua East","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",12,
"501300","Opua East","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",12,
"501300","Opua East","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",12,
"501400","Kawakawa","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",1401,
"501400","Kawakawa","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",1347,
"501400","Kawakawa","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",1221,
"501400","Kawakawa","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",348,
"501400","Kawakawa","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",324,
"501400","Kawakawa","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",279,
"501500","Moerewa","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",1662,
"501500","Moerewa","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",1533,
"501500","Moerewa","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",1431,
"501500","Moerewa","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",498,
"501500","Moerewa","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",423,
"501500","Moerewa","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",375,
"501612","Opua West","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",210,
"501612","Opua West","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",258,
"501612","Opua West","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",255,
"501612","Opua West","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",9,
"501612","Opua West","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",9,
"501612","Opua West","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",3,
"501613","Bay of Islands","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",33,
"501613","Bay of Islands","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",18,
"501613","Bay of Islands","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",9,
"501613","Bay of Islands","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",,c
"501613","Bay of Islands","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",,c
"501613","Bay of Islands","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",,c
"501614","Kapiro","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",2112,
"501614","Kapiro","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",2445,
"501614","Kapiro","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",2685,
"501614","Kapiro","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",138,
"501614","Kapiro","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",141,
"501614","Kapiro","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",123,
"501615","Waitangi","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",834,
"501615","Waitangi","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",795,
"501615","Waitangi","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",813,
"501615","Waitangi","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",33,
"501615","Waitangi","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",30,
"501615","Waitangi","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",30,
"501620","Pokere-Waihaha","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",2451,
"501620","Pokere-Waihaha","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",2490,
"501620","Pokere-Waihaha","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",2424,
"501620","Pokere-Waihaha","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",351,
"501620","Pokere-Waihaha","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",372,
"501620","Pokere-Waihaha","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",357,
"501631","Okaihau","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",687,
"501631","Okaihau","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",717,
"501631","Okaihau","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",696,
"501631","Okaihau","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",84,
"501631","Okaihau","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",81,
"501631","Okaihau","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",114,
"501632","Ohaeawai","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",726,
"501632","Ohaeawai","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",711,
"501632","Ohaeawai","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",714,
"501632","Ohaeawai","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",99,
"501632","Ohaeawai","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",93,
"501632","Ohaeawai","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",69,
"501633","Waihou Valley-Hupara","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",2472,
"501633","Waihou Valley-Hupara","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",2955,
"501633","Waihou Valley-Hupara","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",3285,
"501633","Waihou Valley-Hupara","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",153,
"501633","Waihou Valley-Hupara","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",126,
"501633","Waihou Valley-Hupara","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",123,
"501634","Ngapuhi-Kaikou","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",2373,
"501634","Ngapuhi-Kaikou","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",2514,
"501634","Ngapuhi-Kaikou","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",2394,
"501634","Ngapuhi-Kaikou","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",627,
"501634","Ngapuhi-Kaikou","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",570,
"501634","Ngapuhi-Kaikou","02","Maori","99","Total people, age group","9","Total people, sex","2013","2013",516,
"501700","Kaikohe","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2001","2001",4023,
"501700","Kaikohe","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2006","2006",4113,
"501700","Kaikohe","9999","Total people, languages spoken","99","Total people, age group","9","Total people, sex","2013","2013",3912,
"501700","Kaikohe","02","Maori","99","Total people, age group","9","Total people, sex","2001","2001",933,
"501700","Kaikohe","02","Maori","99","Total people, age group","9","Total people, sex","2006","2006",930,
