"au_code","au_name","Maori_2001","Maori_2006","Maori_2013","Total_2001","Total_2006","Total_2013","per_01","per_06","per_13"
500100,"Awanui",48,57,57,369,351,339,0.130081300813008,0.162393162393162,0.168141592920354
500202,"Karikari Peninsula-Maungataniwha",429,456,429,4275,4230,4344,0.100350877192982,0.107801418439716,0.0987569060773481
500203,"Taipa Bay-Mangonui",105,114,99,1587,1566,1662,0.0661625708884688,0.0727969348659004,0.0595667870036101
500204,"Herekino",309,261,291,2055,1950,2013,0.15036496350365,0.133846153846154,0.144560357675112
500205,"Ahipara",162,141,156,1041,1125,1065,0.155619596541787,0.125333333333333,0.146478873239437
500206,"North Cape",219,180,162,549,501,441,0.398907103825137,0.359281437125749,0.36734693877551
500207,"Houhora",90,102,87,915,837,933,0.0983606557377049,0.121863799283154,0.0932475884244373
500208,"Motutangi-Kareponia",168,201,222,1701,1755,1791,0.0987654320987654,0.114529914529915,0.123953098827471
500301,"Kaitaia West",531,546,480,3189,3252,3093,0.16650987770461,0.16789667896679,0.155189136760427
500302,"Kaitaia East",237,357,255,1962,1950,1794,0.120795107033639,0.183076923076923,0.142140468227425
500401,"Kaeo",105,81,78,495,495,453,0.212121212121212,0.163636363636364,0.172185430463576
500402,"Mangapa-Matauri Bay",423,333,393,2763,2649,2517,0.153094462540717,0.125707814269536,0.156138259833135
500500,"Kohukohu",36,33,36,165,186,165,0.218181818181818,0.17741935483871,0.218181818181818
500600,"Rawene",102,96,123,462,441,471,0.220779220779221,0.217687074829932,0.261146496815287
500700,"Omapere and Opononi",99,99,99,597,480,414,0.165829145728643,0.20625,0.239130434782609
500801,"Hokianga North",621,600,432,2013,1962,1686,0.30849478390462,0.305810397553517,0.256227758007117
500802,"Hokianga South",693,705,669,2874,2610,2568,0.241127348643006,0.270114942528736,0.260514018691589
500900,"Kerikeri",141,207,270,4878,5856,6504,0.0289052890528905,0.0353483606557377,0.0415129151291513
501000,"Russell",33,45,45,804,816,720,0.041044776119403,0.0551470588235294,0.0625
501100,"Paihia",99,135,117,1836,1770,1722,0.053921568627451,0.076271186440678,0.0679442508710801
501200,"Haruru Falls",30,57,57,678,789,867,0.0442477876106195,0.0722433460076046,0.0657439446366782
501300,"Opua East",12,12,12,342,354,291,0.0350877192982456,0.0338983050847458,0.0412371134020619
501400,"Kawakawa",348,324,279,1401,1347,1221,0.248394004282655,0.240534521158129,0.228501228501229
501500,"Moerewa",498,423,375,1662,1533,1431,0.299638989169675,0.275929549902153,0.262054507337526
501612,"Opua West",9,9,3,210,258,255,0.0428571428571429,0.0348837209302326,0.0117647058823529
501613,"Bay of Islands",NA,NA,NA,33,18,9,NA,NA,NA
501614,"Kapiro",138,141,123,2112,2445,2685,0.0653409090909091,0.0576687116564417,0.0458100558659218
501615,"Waitangi",33,30,30,834,795,813,0.039568345323741,0.0377358490566038,0.03690036900369
501620,"Pokere-Waihaha",351,372,357,2451,2490,2424,0.143206854345165,0.149397590361446,0.147277227722772
501631,"Okaihau",84,81,114,687,717,696,0.122270742358079,0.112970711297071,0.163793103448276
501632,"Ohaeawai",99,93,69,726,711,714,0.136363636363636,0.130801687763713,0.0966386554621849
501633,"Waihou Valley-Hupara",153,126,123,2472,2955,3285,0.0618932038834951,0.0426395939086294,0.0374429223744292
501634,"Ngapuhi-Kaikou",627,570,516,2373,2514,2394,0.264222503160556,0.22673031026253,0.215538847117794
501700,"Kaikohe",933,930,891,4023,4113,3912,0.231916480238628,0.226112326768782,0.227760736196319
