year,cause,cause_label,sex,total,age_0,age_1,age_2,age_3,age_4,age_5,age_10,age_15,age_20,age_25,age_30,age_35,age_40,age_45,age_50,age_55,age_60,age_65,age_70,age_75,age_80,age_85
2016,A00-B99  1     Certain infectious and parasitic diseases                                                                                                                                                ,Other,Total:,293,2,0,0,1,0,1,0,0,1,2,0,1,3,7,16,14,19,16,25,33,49,103
2016,A00-B99  1     Certain infectious and parasitic diseases                                                                                                                                                ,Other,Male:,132,1,0,0,0,0,0,0,0,0,1,0,0,2,5,13,10,8,10,13,14,19,36
2016,A00-B99  1     Certain infectious and parasitic diseases                                                                                                                                                ,Other,Female:,161,1,0,0,1,0,1,0,0,1,1,0,1,1,2,3,4,11,6,12,19,30,67
2016,C00-D48  2     Neoplasms                                                                                                                                                                                ,Cancer,Total:,9600,2,0,3,1,1,11,5,13,12,19,51,66,123,230,411,664,821,1171,1254,1415,1351,1976
2016,C00-D48  2     Neoplasms                                                                                                                                                                                ,Cancer,Male:,5058,2,0,2,1,1,5,3,6,7,7,19,29,54,87,175,348,434,658,706,785,773,956
2016,C00-D48  2     Neoplasms                                                                                                                                                                                ,Cancer,Female:,4542,0,0,1,0,0,6,2,7,5,12,32,37,69,143,236,316,387,513,548,630,578,1020
2016,D50-D89  3     Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism                                                                                      ,Other,Total:,80,2,0,0,0,0,0,0,2,0,0,1,0,0,1,4,4,3,4,8,5,9,37
2016,D50-D89  3     Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism                                                                                      ,Other,Male:,34,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,0,2,3,3,3,16
2016,D50-D89  3     Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism                                                                                      ,Other,Female:,46,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,3,2,5,2,6,21
2016,"E00-E89  4     Endocrine, nutritional and metabolic diseases                                                                                                                                            ",Endocrine,Total:,1101,3,0,0,0,0,1,0,1,1,5,5,4,17,23,57,62,84,105,132,155,171,275
2016,"E00-E89  4     Endocrine, nutritional and metabolic diseases                                                                                                                                            ",Endocrine,Male:,564,2,0,0,0,0,1,0,0,0,3,4,1,12,12,38,29,53,66,63,81,99,100
2016,"E00-E89  4     Endocrine, nutritional and metabolic diseases                                                                                                                                            ",Endocrine,Female:,537,1,0,0,0,0,0,0,1,1,2,1,3,5,11,19,33,31,39,69,74,72,175
2016,F00-F99  5     Mental and behavioural disorders                                                                                                                                                         ,Mental,Total:,1746,0,0,0,0,0,0,1,0,1,2,0,2,1,2,1,3,10,18,62,152,292,1199
2016,F00-F99  5     Mental and behavioural disorders                                                                                                                                                         ,Mental,Male:,654,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,5,11,32,83,123,393
2016,F00-F99  5     Mental and behavioural disorders                                                                                                                                                         ,Mental,Female:,1092,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,2,5,7,30,69,169,806
2016,G00-G99  6     Diseases of the nervous system                                                                                                                                                           ,Nervous,Total:,1498,2,0,2,2,2,3,2,5,9,5,8,5,17,16,32,33,49,88,121,210,268,619
