sector,organisation,common_name,address,latitude,longitude,color
Crown agents,Accident Compensation Corporation,Accident Compensation Corporation,"Justice Centre, 19 Aitken Street, Wellington 6140",-41.274775,174.777723,#a6cee3
Autonomous crown entities,Accreditation Council,Accreditation Council,"626 Great South Road, Ellerslie, Auckland 1051",,,#1f78b4
Trusts,Agricultural and Marketing Research and Development Trust,Agricultural and Marketing Research and Development Trust,"8 Weld Street, Feilding 4702",,,#b2df8a
State-owned enterprises,Air New Zealand,Air New Zealand,"185 Fanshawe Street, Auckland 1010",,,#33a02c
State-owned enterprises,Airways Corporation of New Zealand Limited,Airways,"Level 7 Majestic Centre, 100 Willis Street, Wellington 6011",-41.2884778,174.7745157,#33a02c
Public Service,Alexander Turnbull Library,Alexander Turnbull Library,"Level 2 National Library of New Zealand, Corner of Molesworth and Aitken Streets, Thorndon, Wellington 6140",-41.2765756,174.7784329,#fb9a99
Public Service,Archives New Zealand,Archives New Zealand,"10 Mulgrave Street, Thorndon, Wellington 6011",-41.27686300000001,174.779966,#fb9a99
State-owned enterprises,Animal Control Products Limited,Animal Control Products Limited,"408 Heads Road, Wanganui 4501",,,#33a02c
Polytechnics/Institutes of technology,Ara Institute of Canterbury,Ara Institute of Canterbury,"Madras Street Campus , 130 Madras Street, Christchurch 8011",,,#e31a1c
Autonomous crown entities,Arts Council of New Zealand Toi Aotearoa,Creative New Zealand,"Level 10 Aorangi House, 85 Molesworth Street, Wellington 6011",-41.2745311,174.777677,#1f78b4
District Council,Ashburton District Council,Ashburton District Council,"5 Baring Square West , Ashburton 7700",,,#fdbf6f
Trusts,Asia New Zealand Foundation,Asia New Zealand Foundation,"Level 16 Fujitsu Tower, 141 The Terrace, Wellington Central, Wellington 6011",-41.2842767,174.7745076,#b2df8a
State-owned enterprises,AsureQuality Limited,AsureQuality Limited,"Level 1, 7a Pacific Rise, Mt Wellington, Auckland 1060",-41.233759,174.9121541,#33a02c
City Council,Auckland Council,Auckland Council,"135 Albert Street, Auckland 1010",,,#ff7f00
District Health Boards,Auckland District Health Board,Auckland District Health Board,"Level 1 Building 37, 2 Park Road, Grafton, Auckland 1023",,,#cab2d6
Universities,Auckland University of Technology,Auckland University of Technology,"Level 2 Building WA, 55 Wellesley Street East, Auckland",,,#6a3d9a
Offices of Parliament,Audit New Zealand,Audit New Zealand,"Level 2, 100 Molesworth Street, Thorndon, Wellington 6011",-41.2756774,174.778133,#ffff99
Crown agents,Aviation Security Service,Aviation Security Service,"Level 15 Asteron Centre, 55 Featherston Street, Wellington 6140",-41.3263218,174.8097791,#a6cee3
District Health Boards,Bay of Plenty District Health Board,Bay of Plenty District Health Board,"Corner Clarke Street and Twentieth Avenue, Tauranga Central, Tauranga 3112",,,#cab2d6
Regional Council,Bay of Plenty Regional Council,Bay of Plenty Regional Council,"5 Quay Street, Whakatane",,,#b15928
Autonomous crown entities,Broadcasting Commission,NZ On Air,"Level 2, 119 Ghuznee Street, Wellington         ",-41.3328666,174.8098242,#1f78b4
Independent crown entities,Broadcasting Standards Authority,Broadcasting Standards Authority,"Level 2, 119 Ghuznee Street, Wellington",-41.2923682,174.7724295,#8dd3c7
Public Service,Building System Performance,Building System Performance,"15 Stout Street, Wellington 6011",-41.2864603,174.776236,#fb9a99
