id,cable_id,description,name,color,coordinates,length,rfs,owners,url,col10
mars,1935,"[{""landing_point_id"":17114,""name"":""Grand Baie (Rodrigues), Mauritius"",""latlon"":""-19.674346,63.448218""},{""landing_point_id"":17357,""name"":""Grand-Baie, Mauritius"",""latlon"":""-20.018389,57.580155""}]",MARS,#b6b8ba,"<MultiGeometry><LineString><coordinates>57.5801359840979,-20.0184308523986,0 57.7125333512438,-19.9940447940232,0 58.0500331121558,-19.9411762567172,0 59.4000321558038,-19.9411762567172,0 61.6500305618839,-20.1525437860187,0 62.7750297649239,-20.1525437860187,0 63.3375293664439,-19.9411762567172,0 63.4482226474027,-19.6743503777219,0</coordinates></LineString></MultiGeometry>",677 km,2019,Mauritius Telecom,,
palapa-ring-east,1938,"[{""landing_point_id"":16672,""name"":""Agats, Indonesia"",""latlon"":""-5.535632,138.121352""},{""landing_point_id"":17096,""name"":""Baa, Indonesia"",""latlon"":""-10.733335,123.035275""},{""landing_point_id"":16681,""name"":""Kep. Aru, Indonesia"",""latlon"":""-6.194641,134.550186""},{""landing_point_id"":17097,""name"":""Kokar, Indonesia"",""latlon"":""-8.158312,124.453463""},{""landing_point_id"":17100,""name"":""Kota Mappi, Indonesia"",""latlon"":""-7.102453,139.396498""},{""landing_point_id"":14653,""name"":""Kupang, Indonesia"",""latlon"":""-10.183335,123.583322""},{""landing_point_id"":16630,""name"":""Manokwari, Indonesia"",""latlon"":""-0.861465,134.062052""},{""landing_point_id"":16665,""name"":""Nabire, Indonesia"",""latlon"":""-3.372230,135.501626""},{""landing_point_id"":16684,""name"":""Seba, Indonesia"",""latlon"":""-10.457822,121.879904""},{""landing_point_id"":17098,""name"":""Serwaru, Indonesia"",""latlon"":""-8.158116,127.691498""},{""landing_point_id"":17099,""name"":""Suemlaki, Indonesia"",""latlon"":""-8.052233,131.213054""},{""landing_point_id"":16659,""name"":""Supiori, Indonesia"",""latlon"":""-0.729507,135.638516""},{""landing_point_id"":17101,""name"":""Teluk, Indonesia"",""latlon"":""-2.202382,133.482145""},{""landing_point_id"":16683,""name"":""Tiakur, Indonesia"",""latlon"":""-8.282921,125.573726""},{""landing_point_id"":16575,""name"":""Timika, Indonesia"",""latlon"":""-4.550306,136.889565""},{""landing_point_id"":16632,""name"":""Tual, Indonesia"",""latlon"":""-5.626575,132.752092""},{""landing_point_id"":14652,""name"":""Waingapu, Indonesia"",""latlon"":""-9.646104,120.252903""},{""landing_point_id"":16660,""name"":""Yapen, Indonesia"",""latlon"":""-1.756117,136.156973""}]",Palapa Ring East,#b6b8ba,"<MultiGeometry><LineString><coordinates>134.324979078268,-1.68116893590504,0 133.874979397052,-2.01849232540323,0 133.482084167571,-2.20240048864933,0</coordinates></LineString><LineString><coordinates>135.501638400962,-3.37223381409477,0 135.562478201613,-3.02999596800863,0 135.899977962525,-2.58053670498399,0 136.124977803133,-2.13091848096027,0 136.157009030441,-1.75613513866292,0 136.349977643741,-2.01849232540323,0 136.799977324957,-2.01849232540323,0 136.968824861593,-1.90605839438475,0 137.025025993655,-1.68116893590504,0 136.799977324957,-1.4562535667683,0 136.349977643741,-1.4562535667683,0 135.899977962525,-1.34378724789625,0 135.674978121916,-1.17507819468848,0 135.618728161765,-1.00650541289776,0 135.638552366471,-0.729535713493436,0 135.449978281309,-0.837630979982704,0 134.999978600093,-0.837630979982704,0 134.324979078268,-0.781386636225423,0 134.061990983322,-0.861456468675715,0 134.212479157964,-1.00635895122472,0 134.324979078268,-1.2313157502174,0 134.324979078268,-1.68116893590504,0 134.66247883918,-2.13091848096027,0 135.112478520397,-3.02999596800863,0 135.501638400962,-3.37223381409477,0</coordinates></LineString><LineString><coordinates>139.396459860584,-7.1024045360725,0 139.049975731037,-7.17507890354129,0 138.599976049821,-7.06344633899108,0 138.262476288909,-6.61665069347535,0 138.149976368605,-5.94570715507061,0 138.121363107624,-5.53566577798058,0 137.812476607693,-5.49795068831489,0 137.249977006172,-5.27394436364126,0 137.024977165565,-5.0498571673668,0 136.889625698949,-4.55025034358904,0 136.743727364804,-4.37714437553184,0 135.787478042221,-3.59155447996212,0 135.501638400962,-3.37223381409477,0</coordinates></LineString><LineString><coordinates>124.453501696316,-8.16082472664189,0 124.649985932124,-8.06711903252915,0 125.324985453948,-8.06711903252915,0 125.573715746496,-8.28287258149723,0 125.999984975772,-8.17849027894484,0 126.449984656988,-8.12280851798708,0 126.899984338204,-7.95571709433464,0 127.34998401942,-7.95571709433464,0 127.691487683746,-8.15809386700374,0 127.91248362094,-8.01142187411751,0 128.924982903676,-8.01142187411751,0 129.5999824255,-8.17849027894484,0 130.049982106716,-8.17849027894484,0 130.837481548844,-8.06711903252915,0 131.213067220276,-8.05222852772271,0 130.837481548844,-7.84428487716435,0 130.72498162854,-7.62133125995291,0 130.837481548844,-7.17507890354129,0 131.624980990972,-6.28128702504851,0 132.299980512796,-5.77783969920955,0 132.752128629991,-5.62654145191435,0 132.693730233861,-5.38595784717292,0 132.864530894114,-5.12874409271193,0 133.202128311207,-5.12874409271193,0 134.09997923766,-5.94570715507061,0 134.268729118116,-6.05759043242453,0 134.550174231238,-6.19469348259928,0 134.774978759484,-6.1694505295744,0 135.224978440701,-5.83380111942523,0 136.012477882829,-5.60992246306785,0 136.462477564045,-5.38595784717292,0 136.687477404652,-5.0498571673668,0 136.889625698949,-4.55025034358904,0</coordinates></LineString><LineString><coordinates>120.253016390729,-9.64576974118305,0 120.59998880118,-9.62333678834265,0 121.612488083916,-10.2881679121951,0 121.879870707,-10.4578100418413,0 122.062487765132,-10.3988395771274,0 122.84998720726,-10.6200648603632,0 123.035240982275,-10.7333042288745,0 123.074987047868,-10.5094720259955,0 123.299986888476,-10.1775054901478,0 123.583385125214,-10.1829361994309,0</coordinates></LineString></MultiGeometry>","6,300 km",2019,"Indonesian Government,  Moratelindo,  Telekom PT SmartFren",,
palapa-ring-west,1939,"[{""landing_point_id"":5862,""name"":""Batam, Indonesia"",""latlon"":""1.134726,103.962506""},{""landing_point_id"":16645,""name"":""Lingga, Indonesia"",""latlon"":""-0.162759,104.635455""},{""landing_point_id"":16642,""name"":""Natuna, Indonesia"",""latlon"":""3.945662,108.142875""},{""landing_point_id"":17091,""name"":""Singkawang, Indonesia"",""latlon"":""0.906015,108.987210""},{""landing_point_id"":16635,""name"":""Terempa, Indonesia"",""latlon"":""3.207137,106.211137""}]",Palapa Ring West,#b6b8ba,"<MultiGeometry><LineString><coordinates>108.987204059036,0.906050180869085,0 108.78749716926,1.24349007697817,0 107.999997727132,3.26681481681573,0 107.999997727132,3.6037076491949,0 108.142868719671,3.94563929814414,0 107.999997727132,3.84070631216085,0 107.324998205308,3.49142332232056,0 106.874998524092,3.26681481681573,0 106.211131806882,3.20714459117903,0 105.97499916166,2.59270146460188,0 105.749999321052,2.14308717847198,0 104.76538087794,1.46842676733213,0 104.287890981823,1.18755788372679,0 103.962598243514,1.13472453594225,0 104.062500516492,0.740369216163346,0 104.175000436796,0.341584368968701,0 104.400000277404,0.00608858324317269,0 104.63544932936,-0.162758734486464,0</coordinates></LineString></MultiGeometry>","1,980 km",February 2018,Indonesian Government,,
palapa-ring-middle,1940,"[{""landing_point_id"":17083,""name"":""Bangga, Indonesia"",""latlon"":""-1.600283,123.527535""},{""landing_point_id"":17089,""name"":""Baubau, Indonesia"",""latlon"":""-5.507068,122.596896""},{""landing_point_id"":17087,""name"":""Buranga, Indonesia"",""latlon"":""-4.792273,122.856125""},{""landing_point_id"":16570,""name"":""Kendari, Indonesia"",""latlon"":""-3.998450,122.512985""},{""landing_point_id"":17088,""name"":""Lakudo, Indonesia"",""latlon"":""-5.389124,122.559909""},{""landing_point_id"":16620,""name"":""Luwuk, Indonesia"",""latlon"":""-0.938833,122.792795""},{""landing_point_id"":15115,""name"":""Manado, Indonesia"",""latlon"":""1.490829,124.839620""},{""landing_point_id"":17078,""name"":""Melonguane, Indonesia"",""latlon"":""4.043001,126.717280""},{""landing_point_id"":16651,""name"":""Morotai, Indonesia"",""latlon"":""2.365658,128.400824""},{""landing_point_id"":16649,""name"":""Ondong Siau, Indonesia"",""latlon"":""2.754598,125.372969""},{""landing_point_id"":17086,""name"":""Raha, Indonesia"",""latlon"":""-4.832386,122.721090""},{""landing_point_id"":17082,""name"":""Salakan, Indonesia"",""latlon"":""-1.301015,123.340206""},{""landing_point_id"":16623,""name"":""Sanana, Indonesia"",""latlon"":""-2.201454,125.937007""},{""landing_point_id"":16622,""name"":""Sofifi, Indonesia"",""latlon"":""0.734970,127.561445""},{""landing_point_id"":16650,""name"":""Tahuna, Indonesia"",""latlon"":""3.611116,125.485518""},{""landing_point_id"":17084,""name"":""Taliabu, Indonesia"",""latlon"":""-1.826845,124.774068""},{""landing_point_id"":17080,""name"":""Terante, Indonesia"",""latlon"":""0.795810,127.361347""},{""landing_point_id"":17081,""name"":""Tidore, Indonesia"",""latlon"":""0.674008,127.404096""},{""landing_point_id"":17079,""name"":""Tobelo, Indonesia"",""latlon"":""1.714584,127.967865""},{""landing_point_id"":17085,""name"":""Wawonii, Indonesia"",""latlon"":""-4.136146,123.123898""}]",Palapa Ring Middle,#b6b8ba,"<MultiGeometry><LineString><coordinates>122.559948350227,-5.38906904012519,0 122.596862386576,-5.5070880691753,0</coordinates></LineString><LineString><coordinates>122.512975727253,-3.99847159115814,0 122.793786075199,-3.98454063070975,0 122.906237167412,-4.04060399578505,0 122.962487127564,-4.09671218938362,0 123.123912794459,-4.13611220911502,0 122.962487127564,-4.37714437553184,0 122.84998720726,-4.48930768862927,0 122.793737247108,-4.65752020567989,0 122.721081048579,-4.83240685686685,0 122.856115132607,-4.79224135987143,0</coordinates></LineString><LineString><coordinates>122.7927606853,-0.938790613692152,0 123.074987047868,-1.11883950690525,0 123.299986888476,-1.14695898894372,0 123.340221234974,-1.30102523392984,0 123.41248680878,-1.20317270870722,0 123.637486649388,-1.2313157502174,0 123.69373660954,-1.40002108175268,0 123.527525789786,-1.60024515906118,0 123.693785437631,-1.62499119594844,0 124.031285198543,-1.84988745085594,0 124.312486171212,-2.13091848096027,0 124.53748601182,-2.13091848096027,0 124.649985932124,-2.01849232540323,0 124.774009281765,-1.82680365125944,0 124.987485693036,-2.01849232540323,0 125.66248521486,-2.35574573664609,0 125.887485055468,-2.58053670498399,0 126.112484896076,-2.58053670498399,0 126.168734856228,-2.46814597265621,0 126.112484896076,-2.29954218969129,0 125.936996739144,-2.20147343995336,0</coordinates></LineString><LineString><coordinates>127.361312136395,0.795808528725057,0 127.404085543594,0.674041311933443,0 127.561409650895,0.734974159349509,0</coordinates></LineString><LineString><coordinates>124.839634235276,1.49078257623188,0 124.762485852428,1.8057882801292,0 125.212485533644,2.59270146460188,0 125.372934638731,2.75463420153838,0 125.212485533644,2.81745044265415,0 125.212485533644,3.26681481681573,0 125.485532215216,3.60092994712842,0 125.324985453948,3.7159781192981,0 125.437485374252,3.94047577222882,0 126.449984656988,4.05270209726833,0 126.717269623891,4.0429608398373,0 126.899984338204,3.94047577222882,0 127.124984178812,3.7159781192981,0 127.34998401942,3.26681481681573,0 127.91248362094,2.36791255870535,0 128.137483461548,2.25550421192383,0 128.400764525038,2.3656683826114,0 128.1937334217,2.14308717847198,0 128.137483461548,1.91822878021566,0 127.967854675465,1.71462045599958,0</coordinates></LineString></MultiGeometry>","2,100 km",2018,Indonesian Government,,
ulysses-2,1936,"[{""landing_point_id"":10414,""name"":""Ijmuiden, Netherlands"",""latlon"":""52.458517,4.613676""},{""landing_point_id"":3084,""name"":""Lowestoft, United Kingdom"",""latlon"":""52.471359,1.729180""}]",Ulysses 2,#ba6629,"<MultiGeometry><LineString><coordinates>1.72927222906125,52.4688256361003,0 2.25007264137136,52.5549146833415,0 3.82507152562736,52.5549146833415,0 4.27507120684338,52.5207013345201,0 4.61366959978959,52.4585026571877,0</coordinates></LineString></MultiGeometry>",n.a.,1997,Verizon,,
natitua,1916,"[{""landing_point_id"":17070,""name"":""Arutua, French Polynesia"",""latlon"":""-15.289900,-146.786154""},{""landing_point_id"":17072,""name"":""Fakarava, French Polynesia"",""latlon"":""-16.310310,-145.624564""},{""landing_point_id"":17095,""name"":""Hao, French Polynesia"",""latlon"":""-18.215753,-140.908090""},{""landing_point_id"":17075,""name"":""Hitia'a, French Polynesia"",""latlon"":""-17.723322,-149.308119""},{""landing_point_id"":17077,""name"":""Hiva Oa, French Polynesia"",""latlon"":""-9.754673,-139.021125""},{""landing_point_id"":17071,""name"":""Kaukura, French Polynesia"",""latlon"":""-15.741389,-146.673843""},{""landing_point_id"":17073,""name"":""Makemo, French Polynesia"",""latlon"":""-16.539558,-143.867192""},{""landing_point_id"":17068,""name"":""Manihi, French Polynesia"",""latlon"":""-14.402889,-145.958145""},{""landing_point_id"":17076,""name"":""Nuku Hiva, French Polynesia"",""latlon"":""-8.860484,-140.142096""},{""landing_point_id"":17069,""name"":""Rangiroa, French Polynesia"",""latlon"":""-15.116219,-147.651309""},{""landing_point_id"":17067,""name"":""Takaroa, French Polynesia"",""latlon"":""-14.449764,-144.972208""}]",NATITUA,#b6b8ba,"<MultiGeometry><LineString><coordinates>-143.99982375383,-16.95345498981,0 -143.43732415231,-17.0610350198815,0 -142.424824869574,-17.4907321611112,0 -141.18732574623,-18.0264263837134,0 -140.908126725267,-18.2157407099082,0</coordinates></LineString><LineString><coordinates>-145.799822478694,-15.6577882793576,0 -145.799822478694,-15.8743232816897,0 -145.743572518542,-16.0906258203948,0 -145.624578462213,-16.3103484124556,0</coordinates></LineString><LineString><coordinates>-146.924821681734,-15.5494344931263,0 -146.868571721582,-15.6577882793576,0 -146.673845297028,-15.7413658227373,0</coordinates></LineString><LineString><coordinates>-146.587321920822,-15.5494344931263,0 -146.643571880974,-15.4410236595679,0 -146.78614990497,-15.28988809316,0</coordinates></LineString><LineString><coordinates>-147.149821522342,-15.5494344931263,0 -146.924821681734,-15.5494344931263,0 -146.587321920822,-15.5494344931263,0 -145.799822478694,-15.6577882793576,0 -145.349822797478,-15.9825037862458,0 -145.12482295687,-16.3066930656182,0 -144.56232335535,-16.7381104387023,0 -143.99982375383,-16.95345498981,0 -143.774823913222,-16.8458133477988,0 -143.774823913222,-16.7381104387023,0 -143.867206660277,-16.5395609771045,0</coordinates></LineString><LineString><coordinates>-147.149821522342,-15.2240322846473,0 -147.37482136295,-15.1154524628684,0 -147.65128601085,-15.1162066815703,0</coordinates></LineString><LineString><coordinates>-139.387327021366,-9.84509708582678,0 -139.049827260454,-9.84509708582678,0 -139.021116343293,-9.75463975830023,0</coordinates></LineString><LineString><coordinates>-145.349822797478,-14.1357753750647,0 -145.12482295687,-14.2448425473154,0 -144.972186346249,-14.4497686109107,0</coordinates></LineString><LineString><coordinates>-145.912322398998,-14.7893807985391,0 -145.912322398998,-14.5717264913325,0 -145.958123147802,-14.4028584358851,0</coordinates></LineString><LineString><coordinates>-140.142111642919,-8.8605240877324,0 -139.724826782278,-9.29042430103552,0 -139.387327021366,-9.84509708582678,0 -139.49982694167,-10.1774574303611,0 -140.399826304102,-11.0620321099094,0 -144.899823116262,-13.6989872696108,0 -145.349822797478,-14.1357753750647,0 -145.462322717782,-14.5717264913325,0 -145.912322398998,-14.7893807985391,0 -146.699821841126,-14.7893807985391,0 -147.149821522342,-15.2240322846473,0 -147.149821522342,-15.5494344931263,0 -147.37482136295,-15.8743232816897,0 -148.724820406598,-17.3834020059424,0 -149.308120774632,-17.7233422198044,0</coordinates></LineString></MultiGeometry>","2,400 km",Q4 2018,OPT French Polynesia,,
hong-kong-americas-hka,1933,"[{""landing_point_id"":5856,""name"":""Chung Hom Kok, Hong Kong, China"",""latlon"":""22.222045,114.203028""},{""landing_point_id"":4966,""name"":""Hermosa Beach, California, United States"",""latlon"":""33.862237,-118.399546""}]",Hong Kong-Americas (HKA),#b6b8ba,"<MultiGeometry><LineString><coordinates>179.999946721693,42.0792356181642,0 172.799951822237,42.0792356181642,0 160.199960748189,38.6518117127113,0 138.599976049821,25.3487174221168,0 130.949981469148,22.2613696783407,0 125.999984975772,20.7963061051089,0 122.84998720726,19.9526229051643,0 120.149989119964,19.9526229051643,0 118.3499903951,20.7963061051089,0 116.999991351452,21.5306853339625,0 115.649992307804,21.7397430204694,0 114.749992945372,21.9486781379272,0 114.202923020422,22.2220499858035,0</coordinates></LineString><LineString><coordinates>-118.399451264374,33.8624759069565,0 -120.599840330598,33.5654914823521,0 -122.399839055462,33.5654914823521,0 -129.712422376136,36.8732195120893,0 -138.712416000456,40.04369219283,0 -151.312407074504,42.0792356181642,0 -179.887209889497,42.0792356181642,0</coordinates></LineString></MultiGeometry>","13,000 km",2020,"Facebook,  Telstra,  Tata Communications,  China Telecom,  China Unicom",,
curie,1932,"[{""landing_point_id"":3678,""name"":""Los Angeles, California, United States"",""latlon"":""34.053399,-118.245347""},{""landing_point_id"":3331,""name"":""Valparaíso, Chile"",""latlon"":""-33.045775,-71.620479""}]",Curie,#b6b8ba,"<MultiGeometry><LineString><coordinates>-71.6204316686953,-33.0455404466311,0 -73.1248739623093,-31.8514656655771,0 -79.6498693399414,-18.4538137757772,0 -84.1498661521014,-11.5033338459843,0 -85.4998651957494,-6.61665069347535,0 -85.9498648769654,0.568578852526363,0 -87.0647566652906,5.53417804806594,0 -92.6998600952055,9.52441134501959,0 -98.0998562697975,12.6153955673934,0 -104.399851806822,16.102325595803,0 -108.449848937766,18.6786470221547,0 -114.299844793574,22.4694439648296,0 -118.799841605734,27.7635885260577,0 -119.699840968166,31.2867388143918,0 -119.24984128695,32.8123187832877,0 -118.799841605734,33.9396400883196,0 -118.245355914552,34.0533944197417,0</coordinates></LineString></MultiGeometry>","10,000 km",2019,Google,,
venezuela-festoon,1094,"[{""landing_point_id"":7862,""name"":""Cabimas, Venezuela"",""latlon"":""10.395952,-71.451095""},{""landing_point_id"":5966,""name"":""Camuri, Venezuela"",""latlon"":""10.606450,-66.878197""},{""landing_point_id"":7789,""name"":""Carúpano, Venezuela"",""latlon"":""10.666801,-63.250525""},{""landing_point_id"":7863,""name"":""Chichiriviche, Venezuela"",""latlon"":""10.928569,-68.284495""},{""landing_point_id"":7785,""name"":""Coro, Venezuela"",""latlon"":""11.402812,-69.677817""},{""landing_point_id"":7787,""name"":""Cumaná, Venezuela"",""latlon"":""10.454302,-64.182116""},{""landing_point_id"":17038,""name"":""Higuerote, Venezuela"",""latlon"":""10.480351,-66.098107""},{""landing_point_id"":4314,""name"":""Maracaibo, Venezuela"",""latlon"":""10.688213,-71.598385""},{""landing_point_id"":7788,""name"":""Porlamar, Venezuela"",""latlon"":""10.955253,-63.847607""},{""landing_point_id"":7786,""name"":""Puerto Cabello, Venezuela"",""latlon"":""10.478130,-68.009580""},{""landing_point_id"":7348,""name"":""Puerto La Cruz, Venezuela"",""latlon"":""10.202544,-64.644872""},{""landing_point_id"":5965,""name"":""Punto Fijo, Venezuela"",""latlon"":""11.708793,-70.204257""}]",Venezuela Festoon,#3dad49,"<MultiGeometry><LineString><coordinates>-71.4510958511544,10.3959286321354,0 -71.5984101999205,10.6881761323225,0 -71.5498750780533,11.0739827812267,0 -71.0998753968373,11.4050091475329,0 -70.4248758750133,11.6254799595698,0 -70.2043193906326,11.7087810894319,0 -69.8623762734933,11.6254799595698,0 -69.6778060917445,11.4028073984226,0 -69.5248765125813,11.5152661580388,0 -69.2998766719733,11.6254799595698,0 -68.7373770704533,11.5703784843649,0 -68.3998773095413,11.2947093195655,0 -68.2844965319031,10.9285608547713,0 -68.0095943828963,10.4781392230212,0 -67.7248777877173,10.6320332081178,0 -67.3873780268053,10.7425816754764,0 -67.1623781861972,10.7425816754764,0 -66.8782963561935,10.6065015532285,0 -66.5998785846773,10.7425816754764,0 -66.2623788237652,10.7425816754764,0 -66.1498789034612,10.6320332081178,0 -66.0981211276269,10.4803478522971,0 -65.6998792222452,10.4108165054027,0 -65.2498795410292,10.4108165054027,0 -64.6448995008528,10.2025142701796,0 -64.1821068599494,10.4543234382051,0 -64.4061301387492,10.6320332081178,0 -64.3498801785972,10.7978407643982,0 -64.0123804176852,10.7425816754764,0 -63.8476344406428,10.955215720096,0 -63.2505157230223,10.6667758631219,0</coordinates></LineString></MultiGeometry>","1,200 km",1998,CANTV,,
silk-route-gateway-srg-1,1849,"[{""landing_point_id"":16371,""name"":""Gwador, Pakistan"",""latlon"":""25.132297,62.325026""},{""landing_point_id"":3259,""name"":""Karachi, Pakistan"",""latlon"":""24.889378,67.028539""},{""landing_point_id"":4225,""name"":""Muscat, Oman"",""latlon"":""23.615098,58.591043""}]",Silk Route Gateway (SRG-1),#b6b8ba,"<MultiGeometry><LineString><coordinates>62.3250300837079,25.1323029005476,0 62.5500299243159,24.3278031116518,0</coordinates></LineString><LineString><coordinates>67.0285423766957,24.8897284412775,0 62.5500299243159,24.3278031116518,0 60.6417060808779,24.3126191960934,0 58.9500324745879,23.8656711192626,0 58.5911460100764,23.6150932571273,0</coordinates></LineString></MultiGeometry>","1,030 km",2019,"Multinet Pakistan,  Omantel",http://www.silkroutegateway-1.com,
