id,city_id,name,marker,coordinates,cable_id
grand-baie-rodrigues-mauritius,17114,"Grand Baie (Rodrigues), Mauritius",measle_white,"<Point><coordinates>63.448218,-19.674346</coordinates></Point>",1935
grand-baie-mauritius,17357,"Grand-Baie, Mauritius",measle_white,"<Point><coordinates>57.580155,-20.018389</coordinates></Point>",1935
hao-french-polynesia,17095,"Hao, French Polynesia",measle_white,"<Point><coordinates>-140.908090,-18.215753,0</coordinates></Point>",1916
manado-indonesia,15115,"Manado, Indonesia",measle_white,"<Point><coordinates>124.839620,1.490829,0</coordinates></Point>",1940
ondong-siau-indonesia,16649,"Ondong Siau, Indonesia",measle_white,"<Point><coordinates>125.372969,2.754598</coordinates></Point>",1940
tahuna-indonesia,16650,"Tahuna, Indonesia",measle_white,"<Point><coordinates>125.485518,3.611116</coordinates></Point>",1940
melonguane-indonesia,17078,"Melonguane, Indonesia",measle_white,"<Point><coordinates>126.717280,4.043001,0</coordinates></Point>",1940
morotai-indonesia,16651,"Morotai, Indonesia",measle_white,"<Point><coordinates>128.400824,2.365658</coordinates></Point>",1940
tobelo-indonesia,17079,"Tobelo, Indonesia",measle_white,"<Point><coordinates>127.967865,1.714584</coordinates></Point>",1940
terante-indonesia,17080,"Terante, Indonesia",measle_white,"<Point><coordinates>127.361347,0.795810,0</coordinates></Point>",1940
sofifi-indonesia,16622,"Sofifi, Indonesia",measle_white,"<Point><coordinates>127.561445,0.734970,0</coordinates></Point>",1940
tidore-indonesia,17081,"Tidore, Indonesia",measle_white,"<Point><coordinates>127.404096,0.674008</coordinates></Point>",1940
luwuk-indonesia,16620,"Luwuk, Indonesia",measle_white,"<Point><coordinates>122.792795,-0.938833</coordinates></Point>",1940
salakan-indonesia,17082,"Salakan, Indonesia",measle_white,"<Point><coordinates>123.340206,-1.301015</coordinates></Point>",1940
bangga-indonesia,17083,"Bangga, Indonesia",measle_white,"<Point><coordinates>123.527535,-1.600283</coordinates></Point>",1940
taliabu-indonesia,17084,"Taliabu, Indonesia",measle_white,"<Point><coordinates>124.774068,-1.826845</coordinates></Point>",1940
sanana-indonesia,16623,"Sanana, Indonesia",measle_white,"<Point><coordinates>125.937007,-2.201454</coordinates></Point>",1940
kendari-indonesia,16570,"Kendari, Indonesia",measle_white,"<Point><coordinates>122.512985,-3.998450,0</coordinates></Point>",1940
wawonii-indonesia,17085,"Wawonii, Indonesia",measle_white,"<Point><coordinates>123.123898,-4.136146</coordinates></Point>",1940
raha-indonesia,17086,"Raha, Indonesia",measle_white,"<Point><coordinates>122.721090,-4.832386,0</coordinates></Point>",1940
buranga-indonesia,17087,"Buranga, Indonesia",measle_white,"<Point><coordinates>122.856125,-4.792273</coordinates></Point>",1940
lakudo-indonesia,17088,"Lakudo, Indonesia",measle_white,"<Point><coordinates>122.559909,-5.389124</coordinates></Point>",1940
baubau-indonesia,17089,"Baubau, Indonesia",measle_white,"<Point><coordinates>122.596896,-5.507068</coordinates></Point>",1940
ijmuiden-netherlands,10414,"Ijmuiden, Netherlands",measle_white,"<Point><coordinates>4.613676,52.458517</coordinates></Point>",1936
takaroa-french-polynesia,17067,"Takaroa, French Polynesia",measle_white,"<Point><coordinates>-144.972208,-14.449764</coordinates></Point>",1916
manihi-french-polynesia,17068,"Manihi, French Polynesia",measle_white,"<Point><coordinates>-145.958145,-14.402889</coordinates></Point>",1916
rangiroa-french-polynesia,17069,"Rangiroa, French Polynesia",measle_white,"<Point><coordinates>-147.651309,-15.116219</coordinates></Point>",1916
arutua-french-polynesia,17070,"Arutua, French Polynesia",measle_white,"<Point><coordinates>-146.786154,-15.289900,0</coordinates></Point>",1916
kaukura-french-polynesia,17071,"Kaukura, French Polynesia",measle_white,"<Point><coordinates>-146.673843,-15.741389</coordinates></Point>",1916
fakarava-french-polynesia,17072,"Fakarava, French Polynesia",measle_white,"<Point><coordinates>-145.624564,-16.310310,0</coordinates></Point>",1916
makemo-french-polynesia,17073,"Makemo, French Polynesia",measle_white,"<Point><coordinates>-143.867192,-16.539558</coordinates></Point>",1916
hitiaa-french-polynesia,17075,"Hitia'a, French Polynesia",measle_white,"<Point><coordinates>-149.308119,-17.723322</coordinates></Point>",1916
hiva-oa-french-polynesia,17077,"Hiva Oa, French Polynesia",measle_white,"<Point><coordinates>-139.021125,-9.754673</coordinates></Point>",1916
nuku-hiva-french-polynesia,17076,"Nuku Hiva, French Polynesia",measle_white,"<Point><coordinates>-140.142096,-8.860484</coordinates></Point>",1916
paramaribo-suriname,4256,"Paramaribo, Suriname",measle_white,"<Point><coordinates>-55.173844,5.824030,0</coordinates></Point>",1913
chung-hom-kok-hong-kong-china,5856,"Chung Hom Kok, Hong Kong, China",measle_white,"<Point><coordinates>114.203028,22.222045</coordinates></Point>",1933
hermosa-beach-california-united-states,4966,"Hermosa Beach, California, United States",measle_white,"<Point><coordinates>-118.399546,33.862237</coordinates></Point>",1933
suro-guinea-bissau,17036,"Suro, Guinea-Bissau",measle_white,"<Point><coordinates>-15.791148,11.774125</coordinates></Point>",1629
duynefontein-south-africa,17037,"Duynefontein, South Africa",measle_white,"<Point><coordinates>18.449912,-33.693309</coordinates></Point>",1629
gwador-pakistan,16371,"Gwador, Pakistan",measle_white,"<Point><coordinates>62.325026,25.132297</coordinates></Point>",1849
karachi-pakistan,3259,"Karachi, Pakistan",measle_white,"<Point><coordinates>67.028539,24.889378</coordinates></Point>",1849
muscat-oman,4225,"Muscat, Oman",measle_white,"<Point><coordinates>58.591043,23.615098</coordinates></Point>",1849
tuasivi-samoa,16520,"Tuasivi, Samoa",measle_white,"<Point><coordinates>-172.178161,-13.670589</coordinates></Point>",1855
puerto-montt-chile,9427,"Puerto Montt, Chile",measle_white,"<Point><coordinates>-72.953413,-41.460371</coordinates></Point>",1922
punta-arenas-chile,15180,"Punta Arenas, Chile",measle_white,"<Point><coordinates>-70.933334,-53.166664</coordinates></Point>",1922
puerto-williams-chile,17032,"Puerto Williams, Chile",measle_white,"<Point><coordinates>-67.605857,-54.935194</coordinates></Point>",1922
tortel-chile,17033,"Tortel, Chile",measle_white,"<Point><coordinates>-73.536885,-47.801213</coordinates></Point>",1922
gwadar-pakistan,16371,"Gwadar, Pakistan",measle_white,"<Point><coordinates>62.324977,25.132261</coordinates></Point>",1923
westbury-ny-united-states,7194,"Westbury, NY, United States",measle_white,"<Point><coordinates>-73.586824,40.757107</coordinates></Point>",1926
sarasota-florida-united-states,3779,"Sarasota, Florida, United States",measle_white,"<Point><coordinates>-82.539627,27.338876</coordinates></Point>",1924
manta-ecuador,8918,"Manta, Ecuador",measle_white,"<Point><coordinates>-80.720835,-0.947182</coordinates></Point>",1924
cancn-mexico,3842,"Cancún, Mexico",measle_white,"<Point><coordinates>-86.767567,21.095666</coordinates></Point>",1924
belize-city-belize,5791,"Belize City, Belize",measle_white,"<Point><coordinates>-88.181617,17.495497</coordinates></Point>",1924
puerto-barrios-guatemala,5848,"Puerto Barrios, Guatemala",measle_white,"<Point><coordinates>-88.597162,15.727175</coordinates></Point>",1924
trujillo-honduras,5850,"Trujillo, Honduras",measle_white,"<Point><coordinates>-85.954683,15.915102</coordinates></Point>",1924
bluefields-nicaragua,5920,"Bluefields, Nicaragua",measle_white,"<Point><coordinates>-83.771621,11.991776</coordinates></Point>",1924
puerto-limon-costa-rica,5810,"Puerto Limon, Costa Rica",measle_white,"<Point><coordinates>-83.037698,9.988579</coordinates></Point>",1924
maria-chiquita-panama,5928,"Maria Chiquita, Panama",measle_white,"<Point><coordinates>-79.753544,9.437554</coordinates></Point>",1924
balboa-panama,8722,"Balboa, Panama",measle_white,"<Point><coordinates>-79.566679,8.950030,0</coordinates></Point>",1924
buffalo-new-york-united-states,3569,"Buffalo, New York, United States",measle_white,"<Point><coordinates>-78.878459,42.885438</coordinates></Point>",1925
toronto-on-canada,3033,"Toronto, ON, Canada",measle_white,"<Point><coordinates>-79.385319,43.648561</coordinates></Point>",1925
punta-salina-pr-united-states,17029,"Punta Salina, PR, United States",measle_white,"<Point><coordinates>-66.185753,18.472999</coordinates></Point>",1918
dania-beach-fl-united-states,17028,"Dania Beach, FL, United States",measle_white,"<Point><coordinates>-80.143943,26.052317</coordinates></Point>",1917
guantanamo-bay-cuba,17027,"Guantanamo Bay, Cuba",measle_white,"<Point><coordinates>-75.158161,19.939612</coordinates></Point>",1918
guantanamo-bay-cuba,17027,"Guantanamo Bay, Cuba",measle_white,"<Point><coordinates>-75.158161,19.939612</coordinates></Point>",1917
esbjerg-denmark,3250,"Esbjerg, Denmark",measle_white,"<Point><coordinates>8.456899,55.465218</coordinates></Point>",1912
newcastle-united-kingdom,4495,"Newcastle, United Kingdom",measle_white,"<Point><coordinates>-1.617778,54.978255</coordinates></Point>",1912
endrup-denmark,16951,"Endrup, Denmark",measle_white,"<Point><coordinates>8.718386,55.523115</coordinates></Point>",1904
eemshaven-netherlands,5916,"Eemshaven, Netherlands",measle_white,"<Point><coordinates>6.816019,53.442806</coordinates></Point>",1904
schoelcher-martinique,17024,"Schoelcher, Martinique",measle_white,"<Point><coordinates>-61.112135,14.629007</coordinates></Point>",1914
kourou-french-guiana,8833,"Kourou, French Guiana",measle_white,"<Point><coordinates>-52.645550,5.168293,0</coordinates></Point>",1914
flying-fish-cove-christmas-island,17023,"Flying Fish Cove, Christmas Island",measle_white,"<Point><coordinates>105.697075,-10.437363</coordinates></Point>",1683
leava-wallis-and-futuna,17016,"Leava, Wallis and Futuna",measle_white,"<Point><coordinates>-178.158108,-14.296834</coordinates></Point>",1855
mata-utu-wallis-and-futuna,16955,"Mata-Utu, Wallis and Futuna",measle_white,"<Point><coordinates>-176.175000,-13.281991,0</coordinates></Point>",1855
savusavu-fiji,17015,"Savusavu, Fiji",measle_white,"<Point><coordinates>179.349750,-16.808015,0</coordinates></Point>",1855
boca-raton-fl-united-states,3563,"Boca Raton, FL, United States",measle_white,"<Point><coordinates>-80.088939,26.350510,0</coordinates></Point>",1913
naples-fl-united-states,3708,"Naples, FL, United States",measle_white,"<Point><coordinates>-81.795792,26.139096</coordinates></Point>",1913
cap-haitien-haiti,16995,"Cap Haitien, Haiti",measle_white,"<Point><coordinates>-72.206771,19.737036</coordinates></Point>",1913
jacmel-haiti,8832,"Jacmel, Haiti",measle_white,"<Point><coordinates>-72.536360,18.237342,0</coordinates></Point>",1913
arcahaie-haiti,16979,"Arcahaie, Haiti",measle_white,"<Point><coordinates>-72.513094,18.770338</coordinates></Point>",1913
bodden-town-cayman-islands,16989,"Bodden Town, Cayman Islands",measle_white,"<Point><coordinates>-81.257389,19.281690,0</coordinates></Point>",1913
north-west-point-cayman-islands,16990,"North West Point, Cayman Islands",measle_white,"<Point><coordinates>-81.411722,19.371558</coordinates></Point>",1913
kingston-jamaica,3272,"Kingston, Jamaica",measle_white,"<Point><coordinates>-76.792132,17.992604</coordinates></Point>",1913
ocho-rios-jamaica,7688,"Ocho Rios, Jamaica",measle_white,"<Point><coordinates>-77.103228,18.398573</coordinates></Point>",1913
montego-bay-jamaica,7687,"Montego Bay, Jamaica",measle_white,"<Point><coordinates>-77.921380,18.469361,0</coordinates></Point>",1913
santo-domingo-dominican-republic,4242,"Santo Domingo, Dominican Republic",measle_white,"<Point><coordinates>-69.940536,18.486805</coordinates></Point>",1913
puerto-plata-dominican-republic,5823,"Puerto Plata, Dominican Republic",measle_white,"<Point><coordinates>-70.691183,19.799365</coordinates></Point>",1913
san-juan-pr-united-states,4262,"San Juan, PR, United States",measle_white,"<Point><coordinates>-66.106664,18.466029</coordinates></Point>",1913
providenciales-turks-and-caicos-islands,4258,"Providenciales, Turks and Caicos Islands",measle_white,"<Point><coordinates>-72.120235,21.851073</coordinates></Point>",1913
maria-chiquita-panama,5928,"Maria Chiquita, Panama",measle_white,"<Point><coordinates>-79.753544,9.437554</coordinates></Point>",1913
cartagena-colombia,5693,"Cartagena, Colombia",measle_white,"<Point><coordinates>-75.505683,10.387016</coordinates></Point>",1924
cartagena-colombia,5693,"Cartagena, Colombia",measle_white,"<Point><coordinates>-75.505683,10.387016</coordinates></Point>",1913
barranquilla-colombia,4315,"Barranquilla, Colombia",measle_white,"<Point><coordinates>-74.779780,10.940434,0</coordinates></Point>",1913
hudishibana-aruba,10790,"Hudishibana, Aruba",measle_white,"<Point><coordinates>-70.049997,12.616678</coordinates></Point>",1913
willemstad-curaao,4275,"Willemstad, Curaçao",measle_white,"<Point><coordinates>-68.896470,12.095585,0</coordinates></Point>",1913
kralendijk-bonaire-sint-eustatius-and-saba,17005,"Kralendijk, Bonaire, Sint Eustatius and Saba",measle_white,"<Point><coordinates>-68.265549,12.144340,0</coordinates></Point>",1913
manzanilla-trinidad-and-tobago,17006,"Manzanilla, Trinidad and Tobago",measle_white,"<Point><coordinates>-61.038148,10.506572</coordinates></Point>",1913
rockly-bay-trinidad-and-tobago,17007,"Rockly Bay, Trinidad and Tobago",measle_white,"<Point><coordinates>-60.735341,11.182451</coordinates></Point>",1913
the-valley-anguilla,4195,"The Valley, Anguilla",measle_white,"<Point><coordinates>-63.038391,18.222364</coordinates></Point>",1913
st-louis-saint-martin,16976,"St. Louis, Saint Martin",measle_white,"<Point><coordinates>-63.078150,18.089930,0</coordinates></Point>",1913
tortola-virgin-islands-u-k-,9589,"Tortola, Virgin Islands (U.K.)",measle_white,"<Point><coordinates>-64.597241,18.414784</coordinates></Point>",1913
chaguaramas-trinidad-and-tobago,8838,"Chaguaramas, Trinidad and Tobago",measle_white,"<Point><coordinates>-61.650806,10.686137</coordinates></Point>",1913
nelson-new-zealand,7850,"Nelson, New Zealand",measle_white,"<Point><coordinates>173.283957,-41.272261</coordinates></Point>",1486
levin-new-zealand,7849,"Levin, New Zealand",measle_white,"<Point><coordinates>175.285323,-40.625288</coordinates></Point>",1486
gustavia-saint-barthlemy,15452,"Gustavia, Saint Barthélemy",measle_white,"<Point><coordinates>-62.850550,17.897914,0</coordinates></Point>",1619
st-louis-saint-martin,16976,"St. Louis, Saint Martin",measle_white,"<Point><coordinates>-63.078137,18.089930,0</coordinates></Point>",1619
baie-mahault-guadeloupe,16975,"Baie-Mahault, Guadeloupe",measle_white,"<Point><coordinates>-61.571717,16.244472</coordinates></Point>",1619
pointe-aux-pimentes-mauritius,16971,"Pointe aux Pimentes, Mauritius",measle_white,"<Point><coordinates>57.424955,-20.066314</coordinates></Point>",1901
copa-club-jamaica,16969,"Copa Club, Jamaica",measle_white,"<Point><coordinates>-76.689361,17.942958</coordinates></Point>",1554
creve-couer-mauritius,16970,"Creve Couer, Mauritius",measle_white,"<Point><coordinates>63.395972,-19.681060,0</coordinates></Point>",1901
puducherry-india,15820,"Puducherry, India",measle_white,"<Point><coordinates>79.737200,11.914359,0</coordinates></Point>",1901
east-london-south-africa,9248,"East London, South Africa",measle_white,"<Point><coordinates>27.866668,-32.983324</coordinates></Point>",1901
weno-chuuk,16967,"Weno, Chuuk",measle_white,"<Point><coordinates>151.858479,7.439996</coordinates></Point>",1908
magachgil-yap-federated-states-of-micronesia,16966,"Magachgil, Yap, Federated States of Micronesia",measle_white,"<Point><coordinates>138.061488,9.443926</coordinates></Point>",1823
ngeremlengui-palau,7822,"Ngeremlengui, Palau",measle_white,"<Point><coordinates>134.560953,7.531744</coordinates></Point>",1823
san-fernando-city-philippines,9389,"San Fernando City, Philippines",measle_white,"<Point><coordinates>120.311277,16.618898</coordinates></Point>",1858
aurora-philippines,16965,"Aurora, Philippines",measle_white,"<Point><coordinates>121.769260,16.077370,0</coordinates></Point>",1858
el-segundo-california-united-states,4096,"El Segundo, California, United States",measle_white,"<Point><coordinates>-118.415953,33.919915</coordinates></Point>",1858
sangano-angola,10727,"Sangano, Angola",measle_white,"<Point><coordinates>13.201441,-9.490074</coordinates></Point>",1560
aden-yemen,5969,"Aden, Yemen",measle_white,"<Point><coordinates>45.033530,12.800687,0</coordinates></Point>",1307
djibouti-city-djibouti,4177,"Djibouti City, Djibouti",measle_white,"<Point><coordinates>43.147984,11.594682</coordinates></Point>",1923
djibouti-city-djibouti,4177,"Djibouti City, Djibouti",measle_white,"<Point><coordinates>43.147984,11.594682</coordinates></Point>",1307
bp-clair-ridge-united-kingdom,16809,"BP Clair Ridge, United Kingdom",measle_white,"<Point><coordinates>-2.294927,60.441045</coordinates></Point>",1576
baie-longue-saintmartin,16758,"Baie Longue, SaintMartin",measle_white,"<Point><coordinates>-63.145703,18.059657</coordinates></Point>",1245
philipsburg-sint-maarten,10783,"Philipsburg, Sint Maarten",measle_white,"<Point><coordinates>-63.045825,18.030201</coordinates></Point>",1245
mamoudzou-mayotte,9134,"Mamoudzou, Mayotte",measle_white,"<Point><coordinates>45.233286,-12.783309</coordinates></Point>",1872
perth-australia,3239,"Perth, Australia",measle_white,"<Point><coordinates>115.857227,-31.953442</coordinates></Point>",1818
sydney-australia,3030,"Sydney, Australia",measle_white,"<Point><coordinates>151.206990,-33.869872,0</coordinates></Point>",1818
port-moresby-papua-new-guinea,3925,"Port Moresby, Papua New Guinea",measle_white,"<Point><coordinates>147.188510,-9.479600,0</coordinates></Point>",1898
kikori-papua-new-guinea,16730,"Kikori, Papua New Guinea",measle_white,"<Point><coordinates>144.240196,-7.413512</coordinates></Point>",1898
sisimiut-greenland,16720,"Sisimiut, Greenland",measle_white,"<Point><coordinates>-53.673381,66.939467</coordinates></Point>",1897
maniitsoq-greenland,16719,"Maniitsoq, Greenland",measle_white,"<Point><coordinates>-52.905718,65.407681</coordinates></Point>",1897
aasiaat-greenland,16718,"Aasiaat, Greenland",measle_white,"<Point><coordinates>-52.859111,68.706971</coordinates></Point>",1897
singapore-singapore,3029,"Singapore, Singapore",measle_white,"<Point><coordinates>103.853106,1.293881</coordinates></Point>",1895
dumai-indonesia,7311,"Dumai, Indonesia",measle_white,"<Point><coordinates>101.447639,1.665609</coordinates></Point>",1895
batam-indonesia,5862,"Batam, Indonesia",measle_white,"<Point><coordinates>103.962506,1.134726</coordinates></Point>",1895
jakarta-indonesia,3012,"Jakarta, Indonesia",measle_white,"<Point><coordinates>106.827861,-6.171594</coordinates></Point>",1744
jakarta-indonesia,3012,"Jakarta, Indonesia",measle_white,"<Point><coordinates>106.827861,-6.171594</coordinates></Point>",1895
bali-indonesia,9595,"Bali, Indonesia",measle_white,"<Point><coordinates>115.596973,-8.464415</coordinates></Point>",1895
waingapu-indonesia,14652,"Waingapu, Indonesia",measle_white,"<Point><coordinates>120.252903,-9.646104</coordinates></Point>",1938
seba-indonesia,16684,"Seba, Indonesia",measle_white,"<Point><coordinates>121.879904,-10.457822</coordinates></Point>",1938
baa-indonesia,17096,"Baa, Indonesia",measle_white,"<Point><coordinates>123.035275,-10.733335</coordinates></Point>",1938
kupang-indonesia,14653,"Kupang, Indonesia",measle_white,"<Point><coordinates>123.583322,-10.183335</coordinates></Point>",1938
kokar-indonesia,17097,"Kokar, Indonesia",measle_white,"<Point><coordinates>124.453463,-8.158312</coordinates></Point>",1938
tiakur-indonesia,16683,"Tiakur, Indonesia",measle_white,"<Point><coordinates>125.573726,-8.282921</coordinates></Point>",1938
serwaru-indonesia,17098,"Serwaru, Indonesia",measle_white,"<Point><coordinates>127.691498,-8.158116</coordinates></Point>",1938
suemlaki-indonesia,17099,"Suemlaki, Indonesia",measle_white,"<Point><coordinates>131.213054,-8.052233</coordinates></Point>",1938
tual-indonesia,16632,"Tual, Indonesia",measle_white,"<Point><coordinates>132.752092,-5.626575</coordinates></Point>",1938
kep-aru-indonesia,16681,"Kep. Aru, Indonesia",measle_white,"<Point><coordinates>134.550186,-6.194641</coordinates></Point>",1938
timika-indonesia,16575,"Timika, Indonesia",measle_white,"<Point><coordinates>136.889565,-4.550306</coordinates></Point>",1938
agats-indonesia,16672,"Agats, Indonesia",measle_white,"<Point><coordinates>138.121352,-5.535632</coordinates></Point>",1938
